Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NLE1-N1,Intensity NLE1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q9H0C8;E9PC05;F8SNU7;F8SNU6;H7C2I8,Q9H0C8;E9PC05;F8SNU7,6;3;3;2;1,6;3;3;2;1,6;3;3;2;1,Integrin-linked kinase-associated serine/threonine phosphatase 2C,ILKAP;ILKAP3,sp|Q9H0C8|ILKAP_HUMAN Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Homo sapiens OX=9606 GN=ILKAP PE=1 SV=1;tr|E9PC05|E9PC05_HUMAN Integrin-linked kinase-associated serine/threonine phosphatase 2C (Fragment) OS=Homo sapiens OX=9606 G,6,6,17.3,24.1520533115051,25.1738661946432,26.1023749484535,26.336948334083
Q9P2N6;A0A590UJ53;F8WD76;M0R3B6;C9JF16;F8WEN2;F8WB58;C9J491;A0A075B6P7,Q9P2N6;A0A590UJ53,6;6;2;2;1;1;1;1;1,6;6;2;2;1;1;1;1;1,6;6;2;2;1;1;1;1;1,KAT8 regulatory NSL complex subunit 3,KANSL3,sp|Q9P2N6|KANL3_HUMAN KAT8 regulatory NSL complex subunit 3 OS=Homo sapiens OX=9606 GN=KANSL3 PE=1 SV=2;tr|A0A590UJ53|A0A590UJ53_HUMAN KAT8 regulatory NSL complex subunit 3 OS=Homo sapiens OX=9606 GN=KANSL3 PE=1 SV=1,6,6,7.5,24.695564327618,24.5843992049129,4.42893354222385,4.39608992622293
Q9H1H9;A0A1B0GUA8;H0Y307,Q9H1H9;A0A1B0GUA8,9;9;2,6;6;2,6;6;2,Kinesin-like protein KIF13A,KIF13A,sp|Q9H1H9|KI13A_HUMAN Kinesin-like protein KIF13A OS=Homo sapiens OX=9606 GN=KIF13A PE=1 SV=2;tr|A0A1B0GUA8|A0A1B0GUA8_HUMAN Kinesin-like protein KIF13A OS=Homo sapiens OX=9606 GN=KIF13A PE=1 SV=1,9,6,6.0,4.18694249382544,4.30484830045098,26.4545031302676,23.7177466981229
O60333;A0A087WWA3;Q4R9M9;A0A0U1RQL3;Q12756;H7C0K6;A0A3B3ITK3;A0A3F2YNW9;A0A3B3IUA1;A0A3B3IU40;A0A3B3IT28;A0A3B3ITE5;A0A3B3ITF7;A0A3B3ITW6,O60333;A0A087WWA3;Q4R9M9,7;7;7;2;1;1;1;1;1;1;1;1;1;1,7;7;7;2;1;1;1;1;1;1;1;1;1;1,6;6;6;2;1;1;1;1;1;1;1;1;1;1,Kinesin-like protein KIF1B;Kinesin-like protein,KIF1B;KIF1Bbeta,sp|O60333|KIF1B_HUMAN Kinesin-like protein KIF1B OS=Homo sapiens OX=9606 GN=KIF1B PE=1 SV=5;tr|A0A087WWA3|A0A087WWA3_HUMAN Kinesin-like protein KIF1B OS=Homo sapiens OX=9606 GN=KIF1B PE=1 SV=1;tr|Q4R9M9|Q4R9M9_HUMAN Kinesin family member 1Bbeta isoform II,7,6,6.7,4.18694249382544,4.30484830045098,26.4595459356665,22.4456403184998
Q4G0J3;D6RFF0;H0YA82;D6R9Z6,Q4G0J3;D6RFF0;H0YA82,6;3;3;2,6;3;3;2,6;3;3;2,La-related protein 7,LARP7,sp|Q4G0J3|LARP7_HUMAN La-related protein 7 OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1;tr|D6RFF0|D6RFF0_HUMAN La-related protein 7 (Fragment) OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1;tr|H0YA82|H0YA82_HUMAN La-related protein 7 (Fragment) OS=Homo sapiens O,6,6,10.7,24.0241143108677,24.8193862486147,22.4696100226578,23.1675559646496
Q9Y4W2,Q9Y4W2,6,6,6,Ribosomal biogenesis protein LAS1L,LAS1L,sp|Q9Y4W2|LAS1L_HUMAN Ribosomal biogenesis protein LAS1L OS=Homo sapiens OX=9606 GN=LAS1L PE=1 SV=2,6,6,11.7,22.6540345937953,25.0457273380447,25.9182297927293,25.6755412409247
P18858;F5GZ28;M0R0Q7;B4E135,P18858;F5GZ28;M0R0Q7,6;6;4;1,6;6;4;1,6;6;4;1,DNA ligase 1;DNA ligase,LIG1,sp|P18858|DNLI1_HUMAN DNA ligase 1 OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1;tr|F5GZ28|F5GZ28_HUMAN DNA ligase OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1;tr|M0R0Q7|M0R0Q7_HUMAN DNA ligase OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1,6,6,9.9,21.8169476978822,23.7637497170663,25.1054155714067,26.1219858947841
P49916;K7ERZ5;K7EQB6;K7ENR9,P49916;K7ERZ5,6;3;2;2,6;3;2;2,6;3;2;2,DNA ligase 3,LIG3,sp|P49916|DNLI3_HUMAN DNA ligase 3 OS=Homo sapiens OX=9606 GN=LIG3 PE=1 SV=2;tr|K7ERZ5|K7ERZ5_HUMAN DNA ligase 3 (Fragment) OS=Homo sapiens OX=9606 GN=LIG3 PE=1 SV=1,6,6,5.9,22.4880225097679,24.7570489398761,24.8503841134124,25.4814225311669
Q96QZ7;H7C4U7;H7C535;A0A087WXD2;H7C5T8;A0A087WT53,Q96QZ7;H7C4U7;H7C535;A0A087WXD2;H7C5T8;A0A087WT53,7;7;7;6;6;6,6;6;6;5;5;5,6;6;6;5;5;5,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",MAGI1,"sp|Q96QZ7|MAGI1_HUMAN Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MAGI1 PE=1 SV=3;tr|H7C4U7|H7C4U7_HUMAN Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (Fragment) OS=",7,6,6.3,4.18694249382544,4.30484830045098,25.2144901807017,25.1421912137211
Q66K74;M0R1M7;M0QXQ9;M0R1J2;M0QY41,Q66K74,6;1;1;1;1,6;1;1;1;1,6;1;1;1;1,Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain,MAP1S,sp|Q66K74|MAP1S_HUMAN Microtubule-associated protein 1S OS=Homo sapiens OX=9606 GN=MAP1S PE=1 SV=2,6,6,8.6,4.18694249382544,4.30484830045098,25.3575648906753,25.3048687659326
Q7Z434,Q7Z434,6,6,6,Mitochondrial antiviral-signaling protein,MAVS,sp|Q7Z434|MAVS_HUMAN Mitochondrial antiviral-signaling protein OS=Homo sapiens OX=9606 GN=MAVS PE=1 SV=2,6,6,23.0,4.18694249382544,4.30484830045098,27.2365358570001,27.3598449837167
O00566;U3KQ48,O00566,6;2,6;2,6;2,U3 small nucleolar ribonucleoprotein protein MPP10,MPHOSPH10,sp|O00566|MPP10_HUMAN U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens OX=9606 GN=MPHOSPH10 PE=1 SV=2,6,6,8.5,25.8044465667574,26.8620693801153,23.8515325247222,22.9547351922637
P43246;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02;A0A2R8Y7S8;A0A2R8Y713,P43246;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02;A0A2R8Y7S8,6;6;6;6;6;4;2,6;6;6;6;6;4;2,6;6;6;6;6;4;2,DNA mismatch repair protein Msh2,MSH2,sp|P43246|MSH2_HUMAN DNA mismatch repair protein Msh2 OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1;tr|A0A2R8YFH0|A0A2R8YFH0_HUMAN DNA mismatch repair protein OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1;tr|E9PHA6|E9PHA6_HUMAN DNA mismatch repair protein OS=Homo,6,6,10.3,22.3451790160171,23.1927984783112,24.9602261192441,24.2742655293061
Q9ULD2;H0YC63;A0A0U1RQI2,Q9ULD2;H0YC63,6;4;1,6;4;1,6;4;1,Microtubule-associated tumor suppressor 1,MTUS1,sp|Q9ULD2|MTUS1_HUMAN Microtubule-associated tumor suppressor 1 OS=Homo sapiens OX=9606 GN=MTUS1 PE=1 SV=2;tr|H0YC63|H0YC63_HUMAN Microtubule-associated tumor suppressor 1 (Fragment) OS=Homo sapiens OX=9606 GN=MTUS1 PE=1 SV=1,6,6,6.0,21.5039732167145,22.9757333802691,25.9640441470662,25.1812414468888
Q8TBE9;REV__CON__P02672,Q8TBE9,6;1,6;1,6;1,N-acylneuraminate-9-phosphatase,NANP,sp|Q8TBE9|NANP_HUMAN N-acylneuraminate-9-phosphatase OS=Homo sapiens OX=9606 GN=NANP PE=1 SV=1,6,6,25.8,23.7502146521467,23.1780678672831,28.1180295093597,28.1000902683163
Q15021;E7EN77,Q15021;E7EN77,6;4,6;4,6;4,Condensin complex subunit 1,NCAPD2,sp|Q15021|CND1_HUMAN Condensin complex subunit 1 OS=Homo sapiens OX=9606 GN=NCAPD2 PE=1 SV=3;tr|E7EN77|E7EN77_HUMAN Condensin complex subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=NCAPD2 PE=1 SV=2,6,6,4.9,4.18694249382544,4.30484830045098,24.5077883505338,24.9227048893832
Q9ULX3;H3BUR4,Q9ULX3;H3BUR4,6;3,6;3,6;3,RNA-binding protein NOB1,NOB1,sp|Q9ULX3|NOB1_HUMAN RNA-binding protein NOB1 OS=Homo sapiens OX=9606 GN=NOB1 PE=1 SV=1;tr|H3BUR4|H3BUR4_HUMAN RNA-binding protein NOB1 OS=Homo sapiens OX=9606 GN=NOB1 PE=1 SV=1,6,6,20.9,4.18694249382544,4.30484830045098,24.8478541156702,25.3509389118523
P78316;E9PFK5,P78316;E9PFK5,6;5,6;5,6;5,Nucleolar protein 14,NOP14,sp|P78316|NOP14_HUMAN Nucleolar protein 14 OS=Homo sapiens OX=9606 GN=NOP14 PE=1 SV=3;tr|E9PFK5|E9PFK5_HUMAN Nucleolar protein 14 OS=Homo sapiens OX=9606 GN=NOP14 PE=1 SV=1,6,6,7.5,24.491366265079,24.8970296540974,4.42893354222385,4.39608992622293
P49116;C9JKS0;C9J2Y1;C9JMI6;H7C3R1;H7C3L1,P49116;C9JKS0,6;4;1;1;1;1,6;4;1;1;1;1,6;4;1;1;1;1,Nuclear receptor subfamily 2 group C member 2,NR2C2,sp|P49116|NR2C2_HUMAN Nuclear receptor subfamily 2 group C member 2 OS=Homo sapiens OX=9606 GN=NR2C2 PE=1 SV=1;tr|C9JKS0|C9JKS0_HUMAN Nuclear receptor subfamily 2 group C member 2 (Fragment) OS=Homo sapiens OX=9606 GN=NR2C2 PE=1 SV=1,6,6,14.4,22.943922699732,24.9587226208279,26.2057929511579,26.2745143709612
Q96F24,Q96F24,6,6,6,Nuclear receptor-binding factor 2,NRBF2,sp|Q96F24|NRBF2_HUMAN Nuclear receptor-binding factor 2 OS=Homo sapiens OX=9606 GN=NRBF2 PE=1 SV=1,6,6,32.4,4.18694249382544,4.30484830045098,27.189144987279,27.1910293854582
Q08J23;A0A140T9Y7,Q08J23,6;1,6;1,6;1,tRNA (cytosine(34)-C(5))-methyltransferase,NSUN2,sp|Q08J23|NSUN2_HUMAN RNA cytosine C(5)-methyltransferase NSUN2 OS=Homo sapiens OX=9606 GN=NSUN2 PE=1 SV=2,6,6,10.0,23.1348381499983,24.2508974731636,26.0923476103772,25.0827373635108
P37198;M0QXN5;M0QYY0;M0QX13;M0QZL5;M0R1S1;M0QX64;M0R302,P37198;M0QXN5,7;6;1;1;1;1;1;1,7;6;1;1;1;1;1;1,6;5;0;0;0;0;0;0,Nuclear pore glycoprotein p62,NUP62,sp|P37198|NUP62_HUMAN Nuclear pore glycoprotein p62 OS=Homo sapiens OX=9606 GN=NUP62 PE=1 SV=3;tr|M0QXN5|M0QXN5_HUMAN Nuclear pore glycoprotein p62 OS=Homo sapiens OX=9606 GN=NUP62 PE=1 SV=1,7,6,17.4,4.18694249382544,4.30484830045098,26.4788178731199,26.7615449427795
Q9BXB4;Q9BXB5;A0A5F9ZH75;H7C487,Q9BXB4,6;1;1;1,6;1;1;1,6;1;1;1,Oxysterol-binding protein-related protein 11,OSBPL11,sp|Q9BXB4|OSB11_HUMAN Oxysterol-binding protein-related protein 11 OS=Homo sapiens OX=9606 GN=OSBPL11 PE=1 SV=2,6,6,9.4,4.18694249382544,4.30484830045098,26.1620790296904,26.1068536328137
Q9H0J9;G5E9U9,Q9H0J9;G5E9U9,7;4,6;3,6;3,Poly [ADP-ribose] polymerase 12,PARP12,"sp|Q9H0J9|PAR12_HUMAN Protein mono-ADP-ribosyltransferase PARP12 OS=Homo sapiens OX=9606 GN=PARP12 PE=1 SV=1;tr|G5E9U9|G5E9U9_HUMAN Poly (ADP-ribose) polymerase family, member 12, isoform CRA_a OS=Homo sapiens OX=9606 GN=PARP12 PE=1 SV=1",7,6,9.8,22.0859147706368,22.179587197472,25.8309375776001,24.1109203729438
Q15366;H3BRU6;F8VZX2;F8W0G4;F8VXH9;F8W1G6;P57721;J3QT27;E9PFP8;H3BND9;H3BSS4;F8VRH0,Q15366;H3BRU6;F8VZX2;F8W0G4;F8VXH9;F8W1G6,10;9;9;7;7;6;4;4;4;3;2;2,6;5;5;3;4;3;1;1;1;2;2;2,6;5;5;3;4;3;1;1;1;2;2;2,Poly(rC)-binding protein 2,PCBP2,sp|Q15366|PCBP2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1;tr|H3BRU6|H3BRU6_HUMAN Poly(rC)-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1;tr|F8VZX2|F8VZX2_HUMAN Poly(rC)-binding protein 2 OS=Homo sa,10,6,40.3,25.6554547306253,26.3854647157762,28.7645534945143,28.9121937249537
Q8WW12,Q8WW12,6,6,6,PEST proteolytic signal-containing nuclear protein,PCNP,sp|Q8WW12|PCNP_HUMAN PEST proteolytic signal-containing nuclear protein OS=Homo sapiens OX=9606 GN=PCNP PE=1 SV=2,6,6,36.5,30.2205499622256,29.5769207792775,30.2240052449907,29.9519929845246
Q9NR12;D6RH06;D6RF83;H7BYK4;D6RAN1,Q9NR12;D6RH06;D6RF83;H7BYK4,6;5;4;4;2,6;5;4;4;2,6;5;4;4;2,PDZ and LIM domain protein 7,PDLIM7,sp|Q9NR12|PDLI7_HUMAN PDZ and LIM domain protein 7 OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1;tr|D6RH06|D6RH06_HUMAN PDZ and LIM domain protein 7 (Fragment) OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1;tr|D6RF83|D6RF83_HUMAN PDZ and LIM domain protein 7 (F,6,6,16.2,24.2553709497429,24.9892354461239,26.6829787293885,27.0348563777362
Q15121;B1AKZ5,Q15121;B1AKZ5,6;3,6;3,6;3,Astrocytic phosphoprotein PEA-15,PEA15,sp|Q15121|PEA15_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=2;tr|B1AKZ5|B1AKZ5_HUMAN Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=1,6,6,51.5,4.18694249382544,4.30484830045098,29.092675252175,28.4521479656141
P18669;Q8N0Y7,P18669,9;3,9;3,6;1,Phosphoglycerate mutase 1,PGAM1,sp|P18669|PGAM1_HUMAN Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2,9,6,49.2,22.8295359235388,23.9311176566651,27.5571313092905,27.992480618912
P28340;A0A087WYJ2;M0R2B7;A0A2R8Y705;M0QZR8;M0QXE6;M0R3H8;A0A2R8Y7K6;M0QXQ2,P28340;A0A087WYJ2;M0R2B7;A0A2R8Y705;M0QZR8,6;6;6;3;3;2;2;2;1,6;6;6;3;3;2;2;2;1,6;6;6;3;3;2;2;2;1,DNA polymerase delta catalytic subunit;DNA polymerase,POLD1,sp|P28340|DPOD1_HUMAN DNA polymerase delta catalytic subunit OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=2;tr|A0A087WYJ2|A0A087WYJ2_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=1;tr|M0R2B7|M0R2B7_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,6,6,5.8,23.2563791727447,24.5850872400778,22.855877526053,22.5024751024447
Q9BY77;F6VRR5;Q8WUT1;F8WCX5;Q6R954;F8WEE2,Q9BY77;F6VRR5;Q8WUT1;F8WCX5,6;6;3;3;2;2,6;6;3;3;2;2,6;6;3;3;2;2,Polymerase delta-interacting protein 3,POLDIP3,sp|Q9BY77|PDIP3_HUMAN Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2;tr|F6VRR5|F6VRR5_HUMAN Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=1;tr|Q8WUT1|Q8WUT1_HUMAN POLDIP3 protein OS=H,6,6,18.1,25.113585438501,26.0733896127119,26.1635577027002,26.1781476719264
P24928,P24928,6,6,6,DNA-directed RNA polymerase II subunit RPB1,POLR2A,sp|P24928|RPB1_HUMAN DNA-directed RNA polymerase II subunit RPB1 OS=Homo sapiens OX=9606 GN=POLR2A PE=1 SV=2,6,6,3.7,22.4857398998989,22.6654001135763,25.0200918259408,23.6256687161239
P62937;F8WE65;C9J5S7;F5H284;Q9Y536;E5RIZ5;P0DN26;A0A0H2UH34;A0A0B4J2A2;A0A075B767;A0A075B759,P62937;F8WE65;C9J5S7,6;4;4;1;1;1;1;1;1;1;1,6;4;4;1;1;1;1;1;1;1;1,6;4;4;1;1;1;1;1;1;1;1,"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed;Peptidyl-prolyl cis-trans isomerase",PPIA,sp|P62937|PPIA_HUMAN Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2;tr|F8WE65|F8WE65_HUMAN Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=1;tr|C9J5S7|C9J5S7_HUMAN Peptidyl-prolyl cis-trans isome,6,6,34.5,23.2260863961723,25.567816154966,26.6470501530727,26.3043639954165
Q08209;P16298;E9PPC8;E9PK68;E7ETC2;Q5F2F8;P48454;H0YB02;Q5F2G0;H0YC26;G3V111,Q08209;P16298;E9PPC8;E9PK68;E7ETC2;Q5F2F8,6;4;4;4;4;4;2;1;1;1;1,6;4;4;4;4;4;2;1;1;1;1,6;4;4;4;4;4;2;1;1;1;1,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform;Serine/threonine-protein phosphatase,PPP3CA;PPP3CB,sp|Q08209|PP2BA_HUMAN Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Homo sapiens OX=9606 GN=PPP3CA PE=1 SV=1;sp|P16298|PP2BB_HUMAN Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform OS=Homo sapiens OX=9606 G,6,6,11.3,21.4530453035824,22.7658145855771,26.1002707694025,25.984897162774
P55036;Q5VWC4;A6PVX3;A2A3N6;H0Y561;H0Y3Y9,P55036;Q5VWC4;A6PVX3,6;6;5;2;1;1,6;6;5;2;1;1,6;6;5;2;1;1,26S proteasome non-ATPase regulatory subunit 4,PSMD4,sp|P55036|PSMD4_HUMAN 26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1;tr|Q5VWC4|Q5VWC4_HUMAN 26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1;tr|A6PVX3|A6PVX3_HUMAN 26S prot,6,6,26.8,25.0449773665978,25.7217671678952,28.4235418852315,28.0906830493706
Q9UL46;H0YM70;A0A087X1Z3;H0YKU2,Q9UL46;H0YM70;A0A087X1Z3,6;6;6;2,6;6;6;2,6;6;6;2,Proteasome activator complex subunit 2,PSME2,sp|Q9UL46|PSME2_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=4;tr|H0YM70|H0YM70_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=1;tr|A0A087X1Z3|A0A087X1Z3_HUMAN Proteasome activ,6,6,33.5,4.18694249382544,4.30484830045098,25.7818179276105,25.7491150856967
P28749;H0YE05,P28749,6;1,6;1,6;1,Retinoblastoma-like protein 1,RBL1,sp|P28749|RBL1_HUMAN Retinoblastoma-like protein 1 OS=Homo sapiens OX=9606 GN=RBL1 PE=1 SV=3,6,6,5.1,25.339363171634,25.777786056951,4.42893354222385,4.39608992622293
Q96PK6;A0A0A6YYI9;F8WDX3;A0A0A0MSL8;B8ZZ74,Q96PK6,6;2;2;2;2,6;2;2;2;2,6;2;2;2;2,RNA-binding protein 14,RBM14,sp|Q96PK6|RBM14_HUMAN RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2,6,6,9.6,25.4320519707973,26.0068444703474,21.4211115049666,21.3449460145919
Q9P258,Q9P258,6,6,6,Protein RCC2,RCC2,sp|Q9P258|RCC2_HUMAN Protein RCC2 OS=Homo sapiens OX=9606 GN=RCC2 PE=1 SV=2,6,6,12.5,24.8733791492819,25.6532966633215,23.9676322580679,24.1438266135269
Q2TAM5;Q04206;E9PKH5;A0A087X0W8;E9PI38;E9PQS6;E9PKV4;A0A087WVP0,Q2TAM5;Q04206;E9PKH5;A0A087X0W8,6;5;5;5;2;2;2;2,6;5;5;5;2;2;2;2,6;5;5;5;2;2;2;2,Transcription factor p65,RELA,tr|Q2TAM5|Q2TAM5_HUMAN RELA protein OS=Homo sapiens OX=9606 GN=RELA PE=1 SV=1;sp|Q04206|TF65_HUMAN Transcription factor p65 OS=Homo sapiens OX=9606 GN=RELA PE=1 SV=2;tr|E9PKH5|E9PKH5_HUMAN Transcription factor p65 (Fragment) OS=Homo sapiens OX=9606 GN=RELA,6,6,22.5,23.0515886649402,24.2821341899372,26.9774920089267,26.4609210323154
P35249;C9JZI1;C9J8M3;C9JTT7;H7C1P0;C9JXZ7,P35249;C9JZI1;C9J8M3;C9JTT7,6;5;4;3;2;2,6;5;4;3;2;2,6;5;4;3;2;2,Replication factor C subunit 4,RFC4,sp|P35249|RFC4_HUMAN Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2;tr|C9JZI1|C9JZI1_HUMAN Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=1;tr|C9J8M3|C9J8M3_HUMAN Replication factor C subunit 4 (Fragment) O,6,6,19.0,24.4727736247891,25.5672068903624,25.9556222403985,25.8304540845024
O15541;Q8IZP6,O15541,6;1,6;1,6;1,RING finger protein 113A,RNF113A,sp|O15541|R113A_HUMAN E3 ubiquitin-protein ligase RNF113A OS=Homo sapiens OX=9606 GN=RNF113A PE=1 SV=1,6,6,22.7,22.9188166619153,22.9301612554823,26.9297640724774,26.9008111737587
Q8ND24;E9PN76;E9PRE9,Q8ND24;E9PN76,6;6;1,6;6;1,6;6;1,RING finger protein 214,RNF214,sp|Q8ND24|RN214_HUMAN RING finger protein 214 OS=Homo sapiens OX=9606 GN=RNF214 PE=1 SV=2;tr|E9PN76|E9PN76_HUMAN RING finger protein 214 OS=Homo sapiens OX=9606 GN=RNF214 PE=1 SV=1,6,6,12.5,4.18694249382544,4.30484830045098,25.0201342263476,25.0943828252063
P26373;J3QSB4;H3BTH3,P26373;J3QSB4,6;5;1,6;5;1,6;5;1,60S ribosomal protein L13,RPL13,sp|P26373|RL13_HUMAN 60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4;tr|J3QSB4|J3QSB4_HUMAN 60S ribosomal protein L13 (Fragment) OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=1,6,6,29.9,27.7857512758254,26.0688056617192,25.1253797300797,24.2608357102197
P61313;A0A2R8YEM3;E7EQV9;E7ENU7;E7EX53;A0A2R8Y738,P61313;A0A2R8YEM3;E7EQV9;E7ENU7;E7EX53;A0A2R8Y738,6;6;6;5;3;3,6;6;6;5;3;3,6;6;6;5;3;3,60S ribosomal protein L15;Ribosomal protein L15,RPL15,sp|P61313|RL15_HUMAN 60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2;tr|A0A2R8YEM3|A0A2R8YEM3_HUMAN Ribosomal protein L15 (Fragment) OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=1;tr|E7EQV9|E7EQV9_HUMAN Ribosomal protein L15 (Fragment) OS=,6,6,27.0,26.1264829791064,26.9241104284333,24.8998436795629,25.1051757550813
P15880;H0YEN5;E9PQD7;E9PMM9;I3L404;E9PPT0;E9PM36;H3BNG3;H0YE27,P15880;H0YEN5;E9PQD7;E9PMM9,6;6;5;3;2;2;2;1;1,6;6;5;3;2;2;2;1;1,6;6;5;3;2;2;2;1;1,40S ribosomal protein S2,RPS2,sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2;tr|H0YEN5|H0YEN5_HUMAN 40S ribosomal protein S2 (Fragment) OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=1;tr|E9PQD7|E9PQD7_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9,6,6,22.2,24.726036423748,25.6719834879794,25.2632379616039,25.3559532408623
P62241;Q5JR95,P62241;Q5JR95,6;6,6;6,6;6,40S ribosomal protein S8,RPS8,sp|P62241|RS8_HUMAN 40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2;tr|Q5JR95|Q5JR95_HUMAN 40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=1,6,6,34.1,26.3066253824344,27.8722051765253,26.4384275324584,25.6133270307602
Q5VWQ0;A0A087WWP8;A0A0C4DGT8;A0A0C4DH79,Q5VWQ0;A0A087WWP8;A0A0C4DGT8,7;7;6;3,6;6;5;3,6;6;5;3,Round spermatid basic protein 1,RSBN1,sp|Q5VWQ0|RSBN1_HUMAN Lysine-specific demethylase 9 OS=Homo sapiens OX=9606 GN=RSBN1 PE=1 SV=2;tr|A0A087WWP8|A0A087WWP8_HUMAN Lysine-specific demethylase 9 OS=Homo sapiens OX=9606 GN=RSBN1 PE=1 SV=1;tr|A0A0C4DGT8|A0A0C4DGT8_HUMAN Lysine-specific demethylas,7,6,9.5,24.2182279744,25.503154373794,24.2665658142311,23.7866612851269
Q9Y3I0,Q9Y3I0,6,6,6,tRNA-splicing ligase RtcB homolog,RTCB,sp|Q9Y3I0|RTCB_HUMAN RNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1,6,6,14.9,24.4719058755547,24.2717035208648,25.7965718033458,25.3682967658535
P82979;F8VZQ9;H0YHG0;F8VS12,P82979;F8VZQ9;H0YHG0,6;5;5;1,6;5;5;1,6;5;5;1,SAP domain-containing ribonucleoprotein,SARNP,sp|P82979|SARNP_HUMAN SAP domain-containing ribonucleoprotein OS=Homo sapiens OX=9606 GN=SARNP PE=1 SV=3;tr|F8VZQ9|F8VZQ9_HUMAN SAP domain-containing ribonucleoprotein OS=Homo sapiens OX=9606 GN=SARNP PE=1 SV=1;tr|H0YHG0|H0YHG0_HUMAN Uncharacterized protei,6,6,31.9,21.5190775825266,24.5682511864927,25.7135314655729,25.2145642904793
