Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SMU1-N1,Intensity SMU1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q4L235;R4GNB1,Q4L235;R4GNB1,8;8,8;8,8;8,Acyl-CoA synthetase family member 4,AASDH,sp|Q4L235|ACSF4_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=3;tr|R4GNB1|R4GNB1_HUMAN Beta-alanine-activating enzyme OS=Homo sapiens OX=9606 GN=AASDH PE=1 SV=2,8,8,10.5,24.6370489041658,23.3147603533743,25.154952502708,26.2962635554593
Q9NUQ8,Q9NUQ8,8,8,8,ATP-binding cassette sub-family F member 3,ABCF3,sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens OX=9606 GN=ABCF3 PE=1 SV=2,8,8,14.8,22.2513598939507,22.1138614603393,26.1261481533969,25.9359126497852
O15084;B4DIW9;Q8N8A2;H7C4A0;H7C209;A0A2R8Y7Y4,O15084;B4DIW9,8;7;1;1;1;1,8;7;1;1;1;1,8;7;1;1;1;1,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,ANKRD28,sp|O15084|ANR28_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens OX=9606 GN=ANKRD28 PE=1 SV=5;tr|B4DIW9|B4DIW9_HUMAN Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A OS=Homo sapiens,8,8,11.8,23.7669874097997,22.4727575546548,26.8030426277096,26.228576518599
Q7Z6K5;A0A0A6YYH1;H0YMP5;H0YL85;H0YL03;H0YMK0,Q7Z6K5;A0A0A6YYH1;H0YMP5;H0YL85,8;8;4;4;3;1,8;8;4;4;3;1,8;8;4;4;3;1,Arpin,ARPIN;C15orf38-AP3S2,sp|Q7Z6K5|ARPIN_HUMAN Arpin OS=Homo sapiens OX=9606 GN=ARPIN PE=1 SV=1;tr|A0A0A6YYH1|A0A0A6YYH1_HUMAN Protein C15orf38-AP3S2 OS=Homo sapiens OX=9606 GN=C15orf38-AP3S2 PE=4 SV=1;tr|H0YMP5|H0YMP5_HUMAN Arpin OS=Homo sapiens OX=9606 GN=ARPIN PE=1 SV=1;tr|H0YL,8,8,37.6,24.9383154017648,23.4140144212541,29.9747325947833,29.704328503498
P06576;H0YH81;F8W079;F8W0P7;H0YI37,P06576;H0YH81;F8W079,8;5;4;2;1,8;5;4;2;1,8;5;4;2;1,"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta",ATP5B,"sp|P06576|ATPB_HUMAN ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3;tr|H0YH81|H0YH81_HUMAN ATP synthase subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=1;tr|F8W079|F8W079_HUMAN ATP synthase subunit",8,8,24.8,22.2228774291531,22.0936073360856,26.6924548121091,26.7117474128481
Q9UQB8;I3L4C2;B4DWA1;I3L3C6;I3L327;I3L0M4;I3L3J7;I3L3C5;I3L4A3;I3L0Y9,Q9UQB8;I3L4C2;B4DWA1,13;11;7;6;5;4;4;3;2;1,13;11;7;6;5;4;4;3;2;1,8;6;5;6;1;1;1;2;0;1,Brain-specific angiogenesis inhibitor 1-associated protein 2,BAIAP2,sp|Q9UQB8|BAIP2_HUMAN Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens OX=9606 GN=BAIAP2 PE=1 SV=1;tr|I3L4C2|I3L4C2_HUMAN Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens OX=9606 GN=BAIAP2 PE=1 SV=1;t,13,8,30.3,4.17608450057973,4.06670010289021,27.6857880024593,27.1230720013577
O14981;A0A0A0MTH9,O14981;A0A0A0MTH9,8;8,8;8,8;8,TATA-binding protein-associated factor 172,BTAF1,sp|O14981|BTAF1_HUMAN TATA-binding protein-associated factor 172 OS=Homo sapiens OX=9606 GN=BTAF1 PE=1 SV=2;tr|A0A0A0MTH9|A0A0A0MTH9_HUMAN TATA-binding protein-associated factor 172 OS=Homo sapiens OX=9606 GN=BTAF1 PE=1 SV=1,8,8,6.1,4.17608450057973,4.06670010289021,26.5005734961424,26.3083625020539
Q9H425;E5RFY9;E5RI90,Q9H425;E5RFY9,8;4;1,8;4;1,8;4;1,Uncharacterized protein C1orf198,C1orf198,sp|Q9H425|CA198_HUMAN Uncharacterized protein C1orf198 OS=Homo sapiens OX=9606 GN=C1orf198 PE=1 SV=1;tr|E5RFY9|E5RFY9_HUMAN Uncharacterized protein C1orf198 OS=Homo sapiens OX=9606 GN=C1orf198 PE=1 SV=1,8,8,37.0,4.17608450057973,4.06670010289021,26.2559831691626,26.3400936286483
Q8NG31;E9PPJ1;H0YCZ2,Q8NG31;E9PPJ1;H0YCZ2,8;8;5,8;8;5,8;8;5,Protein CASC5,CASC5,sp|Q8NG31|KNL1_HUMAN Kinetochore scaffold 1 OS=Homo sapiens OX=9606 GN=KNL1 PE=1 SV=3;tr|E9PPJ1|E9PPJ1_HUMAN Kinetochore scaffold 1 OS=Homo sapiens OX=9606 GN=KNL1 PE=1 SV=2;tr|H0YCZ2|H0YCZ2_HUMAN Kinetochore scaffold 1 (Fragment) OS=Homo sapiens OX=9606 G,8,8,5.9,21.0319407634313,21.1533997290856,26.4333261550628,26.0229087425674
P49662;E9PMT1;P51878;Q6UXS9;H7C0P5;A0A384DVP2,P49662,8;3;2;1;1;1,8;3;2;1;1;1,8;3;2;1;1;1,Caspase-4;Caspase-4 subunit 1;Caspase-4 subunit 2,CASP4,sp|P49662|CASP4_HUMAN Caspase-4 OS=Homo sapiens OX=9606 GN=CASP4 PE=1 SV=1,8,8,27.6,4.17608450057973,4.06670010289021,26.9684015489097,27.0486401931693
P51798;H0Y2M6;H3BNG8;I3L470,P51798;H0Y2M6,8;5;1;1,8;5;1;1,8;5;1;1,H(+)/Cl(-) exchange transporter 7,CLCN7,"sp|P51798|CLCN7_HUMAN H(+)/Cl(-) exchange transporter 7 OS=Homo sapiens OX=9606 GN=CLCN7 PE=1 SV=2;tr|H0Y2M6|H0Y2M6_HUMAN Chloride channel 7, isoform CRA_c OS=Homo sapiens OX=9606 GN=CLCN7 PE=1 SV=1",8,8,12.9,4.17608450057973,4.06670010289021,26.1768930883028,25.4978662082541
A5YKK6;H3BMZ2;H3BNB1,A5YKK6,8;2;1,8;2;1,8;2;1,CCR4-NOT transcription complex subunit 1,CNOT1,sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,8,8,4.1,23.7169098680294,22.4520904335038,26.1356310127658,24.5543818136214
Q53SF7;A0A0X1KG75;A0A590PXD8;A0A0D9SG04;A0A0B4J1Z0;H7C1G2;C9J8C4;C9JWZ0;C9JAU3;C9J5Y6;C9JK90,Q53SF7;A0A0X1KG75;A0A590PXD8;A0A0D9SG04;A0A0B4J1Z0,8;8;8;8;4;3;2;1;1;1;1,8;8;8;8;4;3;2;1;1;1;1,8;8;8;8;4;3;2;1;1;1;1,Cordon-bleu protein-like 1,COBLL1,sp|Q53SF7|COBL1_HUMAN Cordon-bleu protein-like 1 OS=Homo sapiens OX=9606 GN=COBLL1 PE=1 SV=3;tr|A0A0X1KG75|A0A0X1KG75_HUMAN Cordon-bleu protein-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=COBLL1 PE=1 SV=1;tr|A0A590PXD8|A0A590PXD8_HUMAN Cordon-bleu protein,8,8,9.8,4.17608450057973,4.06670010289021,25.8343416137647,26.6555366189605
Q9BZJ0;Q5JY65,Q9BZJ0;Q5JY65,8;8,8;8,8;8,Crooked neck-like protein 1,CRNKL1,sp|Q9BZJ0|CRNL1_HUMAN Crooked neck-like protein 1 OS=Homo sapiens OX=9606 GN=CRNKL1 PE=1 SV=4;tr|Q5JY65|Q5JY65_HUMAN Crooked neck-like protein 1 OS=Homo sapiens OX=9606 GN=CRNKL1 PE=1 SV=1,8,8,10.7,4.17608450057973,4.06670010289021,25.8947652252646,26.0047675561059
Q9Y5B0;A0A0J9YWB6;A0A0J9YWJ4;K7EJD2;A0A0A0MR03,Q9Y5B0;A0A0J9YWB6;A0A0J9YWJ4;K7EJD2;A0A0A0MR03,8;7;6;6;6,8;7;6;6;6,8;7;6;6;6,RNA polymerase II subunit A C-terminal domain phosphatase,CTDP1,sp|Q9Y5B0|CTDP1_HUMAN RNA polymerase II subunit A C-terminal domain phosphatase OS=Homo sapiens OX=9606 GN=CTDP1 PE=1 SV=3;tr|A0A0J9YWB6|A0A0J9YWB6_HUMAN RNA polymerase II subunit A C-terminal domain phosphatase (Fragment) OS=Homo sapiens OX=9606 GN=CTDP1,8,8,11.1,24.3970859992132,23.0140526422985,26.3675138015212,26.5091786670238
P07858;R4GMQ5;E9PR54;E9PJ67;E9PCB3;E9PKQ7;E9PNL5;E9PHZ5;E9PLY3;E9PSG5;E9PQM1;E9PS78,P07858,8;2;2;2;2;2;2;2;2;2;2;1,8;2;2;2;2;2;2;2;2;2;2;1,8;2;2;2;2;2;2;2;2;2;2;1,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,CTSB,sp|P07858|CATB_HUMAN Cathepsin B OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=3,8,8,25.4,28.5519716989474,25.4485922413888,25.1872958859938,24.6084001253472
Q9UJW0;E5RGG1;H9KVE0;E5RI97;E5RK21,Q9UJW0,8;3;3;2;2,8;3;3;2;2,8;3;3;2;2,Dynactin subunit 4,DCTN4,sp|Q9UJW0|DCTN4_HUMAN Dynactin subunit 4 OS=Homo sapiens OX=9606 GN=DCTN4 PE=1 SV=1,8,8,24.3,4.17608450057973,4.06670010289021,27.4870013042223,26.9209346833502
P09622;E9PEX6;F8WDM5;A0A1W2PR83;F2Z2E3,P09622;E9PEX6,8;8;1;1;1,8;8;1;1;1,8;8;1;1;1,"Dihydrolipoyl dehydrogenase, mitochondrial;Dihydrolipoyl dehydrogenase",DLD,"sp|P09622|DLDH_HUMAN Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=2;tr|E9PEX6|E9PEX6_HUMAN Dihydrolipoyl dehydrogenase OS=Homo sapiens OX=9606 GN=DLD PE=1 SV=1",8,8,21.0,26.9361823166108,24.7483730441571,4.45881916663448,4.39209895775669
Q99704;H7C093,Q99704,8;1,8;1,8;1,Docking protein 1,DOK1,sp|Q99704|DOK1_HUMAN Docking protein 1 OS=Homo sapiens OX=9606 GN=DOK1 PE=1 SV=1,8,8,24.5,4.17608450057973,4.06670010289021,26.3284301872941,26.6429258076655
Q9Y6G9;E9PHI6;C9JGM7;C9JLW1,Q9Y6G9;E9PHI6,8;5;2;2,8;5;2;2,8;5;2;2,Cytoplasmic dynein 1 light intermediate chain 1,DYNC1LI1,sp|Q9Y6G9|DC1L1_HUMAN Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens OX=9606 GN=DYNC1LI1 PE=1 SV=3;tr|E9PHI6|E9PHI6_HUMAN Dynein light intermediate chain OS=Homo sapiens OX=9606 GN=DYNC1LI1 PE=1 SV=1,8,8,22.0,25.554118288959,22.4272387603184,26.4731608443914,26.0142285855805
P26641,P26641,8,8,8,Elongation factor 1-gamma,EEF1G,sp|P26641|EF1G_HUMAN Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,8,8,22.7,27.2735543165528,25.1555702435223,27.3602637266566,27.4349173044917
O75822;H0YGJ7;H0YLP3,O75822,8;3;2,8;3;2,8;3;2,Eukaryotic translation initiation factor 3 subunit J,EIF3J,sp|O75822|EIF3J_HUMAN Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens OX=9606 GN=EIF3J PE=1 SV=2,8,8,39.5,4.17608450057973,4.06670010289021,26.7101714144674,26.5770108514529
P38919;I3L3H2,P38919;I3L3H2,13;12,8;7,8;7,"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed",EIF4A3,sp|P38919|IF4A3_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4;tr|I3L3H2|I3L3H2_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=2,13,8,26.3,26.9207075766924,22.170813839668,4.45881916663448,4.39209895775669
Q641Q2;F8W7U3;E7ESD2;A0A087WYF6,Q641Q2;F8W7U3;E7ESD2;A0A087WYF6,40;39;38;34,8;8;8;8,8;8;8;8,WASH complex subunit FAM21A,FAM21A,sp|Q641Q2|WAC2A_HUMAN WASH complex subunit 2A OS=Homo sapiens OX=9606 GN=WASHC2A PE=1 SV=3;tr|F8W7U3|F8W7U3_HUMAN WASH complex subunit 2A OS=Homo sapiens OX=9606 GN=WASHC2A PE=1 SV=1;tr|E7ESD2|E7ESD2_HUMAN WASH complex subunit 2A OS=Homo sapiens OX=9606 GN,40,8,50.7,4.17608450057973,4.06670010289021,28.0647621679883,27.6035695268123
Q14320;B0S8I6;Q9Y247,Q14320;B0S8I6,8;6;1,8;6;1,8;6;1,Protein FAM50A,FAM50A,sp|Q14320|FA50A_HUMAN Protein FAM50A OS=Homo sapiens OX=9606 GN=FAM50A PE=1 SV=2;tr|B0S8I6|B0S8I6_HUMAN Protein FAM50A (Fragment) OS=Homo sapiens OX=9606 GN=FAM50A PE=1 SV=1,8,8,26.8,4.17608450057973,4.06670010289021,27.4733621575189,27.0604393287893
Q06546,Q06546,8,8,8,GA-binding protein alpha chain,GABPA,sp|Q06546|GABPA_HUMAN GA-binding protein alpha chain OS=Homo sapiens OX=9606 GN=GABPA PE=1 SV=1,8,8,23.1,4.17608450057973,4.06670010289021,27.4542677867407,27.2034050621649
Q92538;A0A669KBG8;A0A669KB10,Q92538;A0A669KBG8;A0A669KB10,8;8;8,8;8;8,8;8;8,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1,GBF1,sp|Q92538|GBF1_HUMAN Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=GBF1 PE=1 SV=2;tr|A0A669KBG8|A0A669KBG8_HUMAN Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapi,8,8,5.3,21.4102815717659,21.4823866695837,28.0316526633017,28.3173015744733
P55084;F5GZQ3;B5MD38;C9JEY0;C9JE81,P55084;F5GZQ3;B5MD38,11;9;8;4;4,11;9;8;4;4,8;8;5;1;1,"Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase",HADHB,"sp|P55084|ECHB_HUMAN Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3;tr|F5GZQ3|F5GZQ3_HUMAN Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=1;tr|B5MD38|B5MD38_HUMAN Trifu",11,8,28.3,27.2994637748662,22.1723713476163,4.45881916663448,4.39209895775669
Q9BUJ2;M0R3F1;A0A0A0MRA5;B7Z4B8;M0QYZ0;M0QYM5;M0QYI8,Q9BUJ2;M0R3F1;A0A0A0MRA5;B7Z4B8;M0QYZ0,8;8;8;8;4;1;1,8;8;8;8;4;1;1,8;8;8;8;4;1;1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,HNRNPUL1,sp|Q9BUJ2|HNRL1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2;tr|M0R3F1|M0R3F1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1,8,8,11.9,4.17608450057973,4.06670010289021,26.7443234791244,26.6901915517644
Q9H0B6;A8MZ87;A8MX29;E9PP09;C9JHT2;E9PM83;E9PI24;Q9NSK0;C9JZE5;C9J8T5,Q9H0B6;A8MZ87,19;12;9;6;6;6;4;3;2;2,12;5;6;6;6;6;4;1;1;1,8;5;2;2;2;2;0;1;1;1,Kinesin light chain 2,KLC2,sp|Q9H0B6|KLC2_HUMAN Kinesin light chain 2 OS=Homo sapiens OX=9606 GN=KLC2 PE=1 SV=1;tr|A8MZ87|A8MZ87_HUMAN Kinesin light chain OS=Homo sapiens OX=9606 GN=KLC2 PE=1 SV=1,19,8,33.6,22.3168063138512,22.1604691583824,27.1454018524235,26.9838105505053
P18858;F5GZ28;M0R0Q7;B4E135;M0R1S4;M0QY71;M0R1G7,P18858;F5GZ28;M0R0Q7,8;8;6;2;1;1;1,8;8;6;2;1;1;1,8;8;6;2;1;1;1,DNA ligase 1;DNA ligase,LIG1,sp|P18858|DNLI1_HUMAN DNA ligase 1 OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1;tr|F5GZ28|F5GZ28_HUMAN DNA ligase OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1;tr|M0R0Q7|M0R0Q7_HUMAN DNA ligase OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1,8,8,12.5,4.17608450057973,4.06670010289021,25.9856790171538,26.1219858947841
Q9NQ48;H7C488,Q9NQ48;H7C488,8;6,8;6,8;6,Leucine zipper transcription factor-like protein 1,LZTFL1,sp|Q9NQ48|LZTL1_HUMAN Leucine zipper transcription factor-like protein 1 OS=Homo sapiens OX=9606 GN=LZTFL1 PE=1 SV=1;tr|H7C488|H7C488_HUMAN Leucine zipper transcription factor-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=LZTFL1 PE=1 SV=1,8,8,33.8,4.17608450057973,4.06670010289021,27.8019949412245,26.7390522976888
O95819;A0A0D9SEY1;E7EX83;E7EN19;G5E948;G3XAA2;E7ENQ1;A0A0D9SG62;C9J840;H7C360;H7C0P6;Q8N4C8;A0A590UJE1;C9J338;I3L2I2;E7ETN6;H7C3Z6;I3L1U1,O95819;A0A0D9SEY1;E7EX83;E7EN19;G5E948;G3XAA2;E7ENQ1;A0A0D9SG62;C9J840;H7C360;H7C0P6,14;14;13;13;13;13;13;13;12;12;9;6;3;3;2;2;1;1,14;14;13;13;13;13;13;13;12;12;9;6;3;3;2;2;1;1,8;8;8;7;7;7;7;8;7;6;6;0;0;0;0;1;1;0,Mitogen-activated protein kinase kinase kinase kinase 4,MAP4K4,sp|O95819|M4K4_HUMAN Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=2;tr|A0A0D9SEY1|A0A0D9SEY1_HUMAN Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=1;tr|E,14,8,14.4,26.7698867099834,23.4893462407191,27.383356643788,26.7014725143048
Q8IWC1;A0A0A0MRP0,Q8IWC1;A0A0A0MRP0,8;6,8;6,8;6,MAP7 domain-containing protein 3,MAP7D3,sp|Q8IWC1|MA7D3_HUMAN MAP7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=MAP7D3 PE=1 SV=2;tr|A0A0A0MRP0|A0A0A0MRP0_HUMAN MAP7 domain-containing protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=MAP7D3 PE=1 SV=1,8,8,11.4,4.17608450057973,4.06670010289021,26.3392612179899,26.5193985804233
Q15691,Q15691,9,9,8,Microtubule-associated protein RP/EB family member 1,MAPRE1,sp|Q15691|MARE1_HUMAN Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens OX=9606 GN=MAPRE1 PE=1 SV=3,9,8,45.5,4.17608450057973,4.06670010289021,27.5226794600669,27.3950112011839
P56192;H0YHV5;H0YIP0;H0YIC2;F8VS26;H0YHL6;F8W0M7;F8W0S4;F8VZZ9;H0YI94;H0YI27;F5H2V6,P56192,8;3;2;1;1;1;1;1;1;1;1;1,8;3;2;1;1;1;1;1;1;1;1;1,8;3;2;1;1;1;1;1;1;1;1;1,"Methionine--tRNA ligase, cytoplasmic",MARS,"sp|P56192|SYMC_HUMAN Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=2",8,8,12.0,26.4074316749157,23.3430435332844,4.45881916663448,4.39209895775669
Q9BQG0;I3L1L3;I3L311,Q9BQG0;I3L1L3,8;6;1,8;6;1,8;6;1,Myb-binding protein 1A,MYBBP1A,sp|Q9BQG0|MBB1A_HUMAN Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2;tr|I3L1L3|I3L1L3_HUMAN Myb-binding protein 1A (Fragment) OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=1,8,8,8.7,4.17608450057973,4.06670010289021,26.2441974427318,25.994812631639
Q12965;H0YNQ8;O00160;H0YN00;H0YLE5,Q12965,8;2;1;1;1,8;2;1;1;1,8;2;1;1;1,Unconventional myosin-Ie,MYO1E,sp|Q12965|MYO1E_HUMAN Unconventional myosin-Ie OS=Homo sapiens OX=9606 GN=MYO1E PE=1 SV=2,8,8,9.7,4.17608450057973,4.06670010289021,24.1033358376765,26.2048606523644
Q96RE7;K7ENW4;Q96BF6,Q96RE7,11;2;1,11;2;1,8;2;1,Nucleus accumbens-associated protein 1,NACC1,sp|Q96RE7|NACC1_HUMAN Nucleus accumbens-associated protein 1 OS=Homo sapiens OX=9606 GN=NACC1 PE=1 SV=1,11,8,30.6,21.4616892654988,21.5245694250387,28.2069947274084,28.067585597546
Q99733;C9J6D1;C9JZI7;E9PNW0;E9PJJ2;E9PS34;E9PNJ7;A8MXH2;E9PKT8;E9PKI2;E9PP22;C9J1B1;H0YCI4,Q99733;C9J6D1;C9JZI7;E9PNW0;E9PJJ2;E9PS34;E9PNJ7;A8MXH2;E9PKT8,10;8;8;7;7;7;7;7;6;4;4;3;3,10;8;8;7;7;7;7;7;6;4;4;3;3,8;6;6;5;5;5;5;5;4;4;4;3;3,Nucleosome assembly protein 1-like 4,NAP1L4,sp|Q99733|NP1L4_HUMAN Nucleosome assembly protein 1-like 4 OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1;tr|C9J6D1|C9J6D1_HUMAN Nucleosome assembly protein 1-like 4 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1;tr|C9JZI7|C9JZI7_HUMAN Nucleosome asse,10,8,31.7,25.3546760733577,22.4346742221977,29.4937346584548,29.01688167925
Q15021;E7EN77,Q15021;E7EN77,8;6,8;6,8;6,Condensin complex subunit 1,NCAPD2,sp|Q15021|CND1_HUMAN Condensin complex subunit 1 OS=Homo sapiens OX=9606 GN=NCAPD2 PE=1 SV=3;tr|E7EN77|E7EN77_HUMAN Condensin complex subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=NCAPD2 PE=1 SV=2,8,8,7.1,24.24110858679,22.3969480291888,24.8944414450966,24.5248028080089
Q14686;F6M2K4;F6M2K2,Q14686,8;2;2,8;2;2,8;2;2,Nuclear receptor coactivator 6,NCOA6,sp|Q14686|NCOA6_HUMAN Nuclear receptor coactivator 6 OS=Homo sapiens OX=9606 GN=NCOA6 PE=1 SV=3,8,8,7.6,4.17608450057973,4.06670010289021,26.9723514351302,26.3091955771081
Q8NI08;H0Y6T0;Q5TF96,Q8NI08,8;3;1,8;3;1,8;3;1,Nuclear receptor coactivator 7,NCOA7,sp|Q8NI08|NCOA7_HUMAN Nuclear receptor coactivator 7 OS=Homo sapiens OX=9606 GN=NCOA7 PE=1 SV=2,8,8,12.5,4.17608450057973,4.06670010289021,26.2109655739189,26.1344368178569
Q8NHV4,Q8NHV4,8,8,8,Protein NEDD1,NEDD1,sp|Q8NHV4|NEDD1_HUMAN Protein NEDD1 OS=Homo sapiens OX=9606 GN=NEDD1 PE=1 SV=1,8,8,20.6,4.17608450057973,4.06670010289021,27.2070412877363,26.9858744145607
P35240;A0A5K1VW66;A0A5F9ZHA0,P35240;A0A5K1VW66,8;6;1,8;6;1,8;6;1,Merlin,NF2,sp|P35240|MERL_HUMAN Merlin OS=Homo sapiens OX=9606 GN=NF2 PE=1 SV=1;tr|A0A5K1VW66|A0A5K1VW66_HUMAN Merlin (Fragment) OS=Homo sapiens OX=9606 GN=NF2 PE=1 SV=1,8,8,17.1,4.17608450057973,4.06670010289021,28.9754981098033,25.8972605185489
Q8NBF2,Q8NBF2,8,8,8,NHL repeat-containing protein 2,NHLRC2,sp|Q8NBF2|NHLC2_HUMAN NHL repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=NHLRC2 PE=1 SV=1,8,8,19.0,4.17608450057973,4.06670010289021,27.7179688995494,27.6918560592302
Q9H8H0;J3QR28;J3QLQ6;J3QKV1,Q9H8H0,8;3;2;1,8;3;2;1,8;3;2;1,Nucleolar protein 11,NOL11,sp|Q9H8H0|NOL11_HUMAN Nucleolar protein 11 OS=Homo sapiens OX=9606 GN=NOL11 PE=1 SV=1,8,8,14.3,4.17608450057973,4.06670010289021,26.2932843002892,26.5149071244836
O00567;A0A494C128;H0Y653;H0YDU4;Q5JXT2,O00567;A0A494C128;H0Y653;H0YDU4,8;8;6;6;2,8;8;6;6;2,8;8;6;6;2,Nucleolar protein 56,NOP56,sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4;tr|A0A494C128|A0A494C128_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=1;tr|H0Y653|H0Y653_HUMAN Nucleolar protein 56 (Fragment) OS=Homo sapiens OX=9,8,8,17.8,23.2565231471014,22.5314690642564,26.4402349046662,25.7250483298509
Q8TAT6;I3L283;I3L3I1,Q8TAT6,8;1;1,8;1;1,8;1;1,Nuclear protein localization protein 4 homolog,NPLOC4,sp|Q8TAT6|NPL4_HUMAN Nuclear protein localization protein 4 homolog OS=Homo sapiens OX=9606 GN=NPLOC4 PE=1 SV=3,8,8,17.4,24.6698500224458,23.3839138474568,26.7445801179298,25.9451648193518
Q9BW27;J3KT10;J3QL54;F5H0W7;J3QLH0;J3KSH3;J3KRC0;J3QS63;J3KS87;J3QL91;J3QLD4,Q9BW27;J3KT10;J3QL54;F5H0W7;J3QLH0,8;8;5;4;4;3;3;1;1;1;1,8;8;5;4;4;3;3;1;1;1;1,8;8;5;4;4;3;3;1;1;1;1,Nuclear pore complex protein Nup85,NUP85,sp|Q9BW27|NUP85_HUMAN Nuclear pore complex protein Nup85 OS=Homo sapiens OX=9606 GN=NUP85 PE=1 SV=1;tr|J3KT10|J3KT10_HUMAN Nuclear pore complex protein Nup85 OS=Homo sapiens OX=9606 GN=NUP85 PE=1 SV=1;tr|J3QL54|J3QL54_HUMAN Nuclear pore complex protein Nup,8,8,16.6,26.0118851296909,22.8400377334195,22.205740758347,22.1403355167456
Q96CV9;A0A087WY28;A0A087X2G2;X6RKL2,Q96CV9,8;2;1;1,8;2;1;1,8;2;1;1,Optineurin,OPTN,sp|Q96CV9|OPTN_HUMAN Optineurin OS=Homo sapiens OX=9606 GN=OPTN PE=1 SV=3,8,8,16.8,4.17608450057973,4.06670010289021,26.7623055904461,26.387421804735
