Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SNRNP40_N1,Intensity SNRNP40_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
O00443,O00443,8,8,8,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,PIK3C2A,sp|O00443|P3C2A_HUMAN Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens OX=9606 GN=PIK3C2A PE=1 SV=2,8.0,8.0,5.3,4.3500727725963,4.5358450090929,25.8362453348328,26.2110955807455
O00750;F5GWN5,O00750;F5GWN5,5;5,5;5,5;5,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,PIK3C2B,sp|O00750|P3C2B_HUMAN Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta OS=Homo sapiens OX=9606 GN=PIK3C2B PE=1 SV=2;tr|F5GWN5|F5GWN5_HUMAN Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta OS=Homo sapien,5.0,5.0,4.0,26.7318213756966,26.8161787781807,23.4823461318733,23.0840602929573
P42336;A0A2R8Y2F6;C9J951;C9JAM9,P42336;A0A2R8Y2F6,4;4;1;1,4;4;1;1,4;4;1;1,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PIK3CA,"sp|P42336|PK3CA_HUMAN Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform OS=Homo sapiens OX=9606 GN=PIK3CA PE=1 SV=2;tr|A0A2R8Y2F6|A0A2R8Y2F6_HUMAN Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit OS=Homo sapiens",4.0,4.0,6.5,23.2302708688231,23.592422825575,23.3751752207998,22.7239450256759
Q9Y2I7;E9PDH4,Q9Y2I7;E9PDH4,3;2,3;2,3;2,1-phosphatidylinositol 3-phosphate 5-kinase,PIKFYVE,sp|Q9Y2I7|FYV1_HUMAN 1-phosphatidylinositol 3-phosphate 5-kinase OS=Homo sapiens OX=9606 GN=PIKFYVE PE=1 SV=3;tr|E9PDH4|E9PDH4_HUMAN 1-phosphatidylinositol 3-phosphate 5-kinase (Fragment) OS=Homo sapiens OX=9606 GN=PIKFYVE PE=1 SV=1,3.0,3.0,1.6,22.9433683156877,24.1263458582384,24.6892852525385,22.6907030928483
Q96BK5;E5RJG9;E5RGR1;A0A0A6YYK5,Q96BK5,6;1;1;1,6;1;1;1,6;1;1;1,PIN2/TERF1-interacting telomerase inhibitor 1,PINX1,sp|Q96BK5|PINX1_HUMAN PIN2/TERF1-interacting telomerase inhibitor 1 OS=Homo sapiens OX=9606 GN=PINX1 PE=1 SV=2,6.0,6.0,26.5,25.8864627891212,26.8955050214687,23.9462809208455,23.4359347199364
P48426;H7BXS3,P48426;H7BXS3,4;2,4;2,3;1,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,PIP4K2A,sp|P48426|PI42A_HUMAN Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS=Homo sapiens OX=9606 GN=PIP4K2A PE=1 SV=2;tr|H7BXS3|H7BXS3_HUMAN Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS=Homo sapiens OX=9606 GN=PIP4K2A PE=1 SV=1,4.0,3.0,11.8,4.3500727725963,4.5358450090929,25.2519449328375,25.1199299284704
Q8TBX8;F8VNT5;F8VU68;H0YIJ6,Q8TBX8;F8VNT5,12;6;5;4,12;6;5;4,12;6;5;4,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma,PIP4K2C,sp|Q8TBX8|PI42C_HUMAN Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma OS=Homo sapiens OX=9606 GN=PIP4K2C PE=1 SV=3;tr|F8VNT5|F8VNT5_HUMAN Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma (Fragment) OS=Homo sapiens OX=9606 GN=PIP4K2C PE=1 SV=1,12.0,12.0,28.3,23.7625337065644,24.6529998823751,27.4560711067733,27.4501823871732
Q86WI1;H0YF65,Q86WI1;H0YF65,2;2,2;2,2;2,Fibrocystin-L,PKHD1L1,sp|Q86WI1|PKHL1_HUMAN Fibrocystin-L OS=Homo sapiens OX=9606 GN=PKHD1L1 PE=2 SV=2;tr|H0YF65|H0YF65_HUMAN Fibrocystin-L (Fragment) OS=Homo sapiens OX=9606 GN=PKHD1L1 PE=1 SV=1,2.0,2.0,0.6,4.3500727725963,4.5358450090929,24.4623260267854,23.7954079301474
P14618;B4DNK4;H3BTN5;H3BQ34;H3BR70;H3BUW1;H3BTJ2;H3BT25;H3BU13;P30613;H3BN34;H3BQZ3,P14618;B4DNK4;H3BTN5;H3BQ34;H3BR70,28;24;22;15;15;8;8;7;3;1;1;1,28;24;22;15;15;8;8;7;3;1;1;1,28;24;22;15;15;8;8;7;3;1;1;1,Pyruvate kinase PKM;Pyruvate kinase,PKM,sp|P14618|KPYM_HUMAN Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4;tr|B4DNK4|B4DNK4_HUMAN Pyruvate kinase OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=1;tr|H3BTN5|H3BTN5_HUMAN Pyruvate kinase (Fragment) OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=1;tr|,28.0,28.0,65.5,30.4666494995479,28.9700760850079,29.8725134368562,29.8567520887584
Q16513;B1AL79;H0Y5V5,Q16513;B1AL79,14;8;2,14;8;2,14;8;2,Serine/threonine-protein kinase N2,PKN2,"sp|Q16513|PKN2_HUMAN Serine/threonine-protein kinase N2 OS=Homo sapiens OX=9606 GN=PKN2 PE=1 SV=1;tr|B1AL79|B1AL79_HUMAN Protein kinase N2, isoform CRA_b OS=Homo sapiens OX=9606 GN=PKN2 PE=1 SV=1",14.0,14.0,18.1,4.3500727725963,4.5358450090929,27.7242287387004,27.0333867035516
Q13835,Q13835,11,11,11,Plakophilin-1,PKP1,sp|Q13835|PKP1_HUMAN Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2,11.0,11.0,19.9,28.538861890419,28.7476967900703,4.38176407895191,4.39969772430431
P47712,P47712,16,16,16,Cytosolic phospholipase A2;Phospholipase A2;Lysophospholipase,PLA2G4A,sp|P47712|PA24A_HUMAN Cytosolic phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G4A PE=1 SV=2,16.0,16.0,30.3,4.3500727725963,4.5358450090929,28.1124225638275,28.0881573221133
Q9Y263;E5RIM3;H0YC16;H0YBW4,Q9Y263;E5RIM3,5;5;2;2,5;5;2;2,5;5;2;2,Phospholipase A-2-activating protein,PLAA,sp|Q9Y263|PLAP_HUMAN Phospholipase A-2-activating protein OS=Homo sapiens OX=9606 GN=PLAA PE=1 SV=2;tr|E5RIM3|E5RIM3_HUMAN Phospholipase A-2-activating protein OS=Homo sapiens OX=9606 GN=PLAA PE=1 SV=1,5.0,5.0,10.6,4.3500727725963,4.5358450090929,25.4468899461578,25.5379515723058
Q15149;H0YDN1;E9PMV1;E9PQ28;E9PKG0;E9PIA2,Q15149;H0YDN1,77;61;10;2;2;1,76;60;10;2;2;1,72;56;10;2;2;1,Plectin,PLEC,sp|Q15149|PLEC_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3;tr|H0YDN1|H0YDN1_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=9,77.0,72.0,20.5,28.3580010695111,22.6612518453,30.1693760430473,29.8877268900421
Q9HB21;Q5RGS4;R4GMZ9,Q9HB21;Q5RGS4,4;3;1,4;3;1,4;3;1,Pleckstrin homology domain-containing family A member 1,PLEKHA1,sp|Q9HB21|PKHA1_HUMAN Pleckstrin homology domain-containing family A member 1 OS=Homo sapiens OX=9606 GN=PLEKHA1 PE=1 SV=2;tr|Q5RGS4|Q5RGS4_HUMAN Pleckstrin homology domain-containing family A member 1 OS=Homo sapiens OX=9606 GN=PLEKHA1 PE=1 SV=1,4.0,4.0,10.4,4.3500727725963,4.5358450090929,25.2610151208924,25.4241588547425
Q9HAU0;A0JP02;H0YGJ6,Q9HAU0;A0JP02,36;30;11,36;30;11,5;1;1,Pleckstrin homology domain-containing family A member 5,PLEKHA5,sp|Q9HAU0|PKHA5_HUMAN Pleckstrin homology domain-containing family A member 5 OS=Homo sapiens OX=9606 GN=PLEKHA5 PE=1 SV=1;tr|A0JP02|A0JP02_HUMAN PLEKHA5 protein OS=Homo sapiens OX=9606 GN=PLEKHA5 PE=1 SV=1,36.0,5.0,46.6,25.1611949429128,26.1395980333458,30.5547184695446,30.4753737452886
A1L390;G3V311;G3V3I3;G3V278,A1L390;G3V311,4;3;1;1,4;3;1;1,4;3;1;1,Pleckstrin homology domain-containing family G member 3,PLEKHG3,sp|A1L390|PKHG3_HUMAN Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens OX=9606 GN=PLEKHG3 PE=1 SV=1;tr|G3V311|G3V311_HUMAN Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens OX=9606 GN=PLEKHG3 PE=1 SV=1,4.0,4.0,4.2,4.3500727725963,4.5358450090929,24.9636253196707,25.2214399127379
Q9Y4G2;K7EPF2;J3KRU0;K7EII8;K7EQ68;J3KRL8,Q9Y4G2;K7EPF2;J3KRU0,3;2;2;1;1;1,3;2;2;1;1;1,3;2;2;1;1;1,Pleckstrin homology domain-containing family M member 1,PLEKHM1,sp|Q9Y4G2|PKHM1_HUMAN Pleckstrin homology domain-containing family M member 1 OS=Homo sapiens OX=9606 GN=PLEKHM1 PE=1 SV=3;tr|K7EPF2|K7EPF2_HUMAN Pleckstrin homology domain-containing family M member 1 (Fragment) OS=Homo sapiens OX=9606 GN=PLEKHM1 PE=1 SV=,3.0,3.0,5.1,26.1359832093516,27.1752186112211,24.4734550617965,24.4501666517431
Q8TD55;C9J4A7,Q8TD55;C9J4A7,5;3,5;3,5;3,Pleckstrin homology domain-containing family O member 2,PLEKHO2,sp|Q8TD55|PKHO2_HUMAN Pleckstrin homology domain-containing family O member 2 OS=Homo sapiens OX=9606 GN=PLEKHO2 PE=1 SV=1;tr|C9J4A7|C9J4A7_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1,5.0,5.0,15.1,4.3500727725963,4.5358450090929,26.358638324535,25.7510834838748
O60664;K7ERZ3;K7EL96;K7ER39;K7EJD0,O60664;K7ERZ3,23;16;10;8;1,23;16;10;8;1,23;16;10;8;1,Perilipin-3,PLIN3,sp|O60664|PLIN3_HUMAN Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=3;tr|K7ERZ3|K7ERZ3_HUMAN Perilipin-3 (Fragment) OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=1,23.0,23.0,76.5,30.7837078975114,30.5106015977865,32.2415848379979,32.4128130115463
O43660;D6RA26;B7Z982;H0YA24;H0YAA2,O43660,44;18;13;10;2,44;18;13;10;2,44;18;13;10;2,Pleiotropic regulator 1,PLRG1,sp|O43660|PLRG1_HUMAN Pleiotropic regulator 1 OS=Homo sapiens OX=9606 GN=PLRG1 PE=1 SV=1,44.0,44.0,78.2,35.3185761532114,35.64921822004,27.0635283922225,26.945812263381
Q14651;C9JAM8;C9J359;C9J0F3,Q14651;C9JAM8,8;4;1;1,5;2;1;1,5;2;1;1,Plastin-1,PLS1,sp|Q14651|PLSI_HUMAN Plastin-1 OS=Homo sapiens OX=9606 GN=PLS1 PE=1 SV=2;tr|C9JAM8|C9JAM8_HUMAN Plastin-1 (Fragment) OS=Homo sapiens OX=9606 GN=PLS1 PE=1 SV=1,8.0,5.0,18.9,4.3500727725963,4.5358450090929,25.9801971174594,26.3548778065666
P13797;A0A0A0MSQ0;H7C4N2;U3KQI3;F2Z2Z9,P13797;A0A0A0MSQ0,21;20;6;4;1,16;15;6;2;1,14;13;4;2;1,Plastin-3,PLS3,sp|P13797|PLST_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4;tr|A0A0A0MSQ0|A0A0A0MSQ0_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=1,21.0,14.0,45.1,4.3500727725963,4.5358450090929,28.5546452901568,28.0584794953791
P29590;H3BT29;H3BT57;H3BUJ5;H3BVD2,P29590;H3BT29;H3BT57,24;13;13;9;8,24;13;13;9;8,24;13;13;9;8,Protein PML,PML,sp|P29590|PML_HUMAN Protein PML OS=Homo sapiens OX=9606 GN=PML PE=1 SV=3;tr|H3BT29|H3BT29_HUMAN Protein PML (Fragment) OS=Homo sapiens OX=9606 GN=PML PE=1 SV=1;tr|H3BT57|H3BT57_HUMAN Protein PML OS=Homo sapiens OX=9606 GN=PML PE=1 SV=1,24.0,24.0,32.7,28.3695286576586,28.9281267953656,28.1936164206052,28.0402498322588
P54277;Q3BDU3;Q5FBZ9;E9PC65;B7ZAA0;Q5FBZ4;C9JF76;F8W8L1;Q5XG96;E9PC40;C9J4L1;C9JKP0;Q5FBZ7,P54277;Q3BDU3;Q5FBZ9;E9PC65;B7ZAA0,31;26;26;25;22;10;9;6;6;6;5;3;3,31;26;26;25;22;10;9;6;6;6;5;3;3,23;21;21;18;14;10;9;6;6;6;5;3;3,PMS1 protein homolog 1,PMS1,sp|P54277|PMS1_HUMAN PMS1 protein homolog 1 OS=Homo sapiens OX=9606 GN=PMS1 PE=1 SV=1;tr|Q3BDU3|Q3BDU3_HUMAN PMS1 protein homolog 1 OS=Homo sapiens OX=9606 GN=PMS1 PE=1 SV=1;tr|Q5FBZ9|Q5FBZ9_HUMAN PMS1 nirs variant 1 OS=Homo sapiens OX=9606 GN=PMS1 PE=1 SV,31.0,23.0,40.9,30.3009478046279,30.2238902021262,25.4178324320001,25.6934920621348
P54278;A0A2R8Y6S3;C9J167;A4D2B8;Q13401;Q13670,P54278;A0A2R8Y6S3;C9J167,36;33;33;1;1;1,36;33;33;1;1;1,35;32;32;1;1;1,Mismatch repair endonuclease PMS2,PMS2,sp|P54278|PMS2_HUMAN Mismatch repair endonuclease PMS2 OS=Homo sapiens OX=9606 GN=PMS2 PE=1 SV=2;tr|A0A2R8Y6S3|A0A2R8Y6S3_HUMAN Mismatch repair endonuclease PMS2 OS=Homo sapiens OX=9606 GN=PMS2 PE=1 SV=1;tr|C9J167|C9J167_HUMAN Mismatch repair endonuclease,36.0,35.0,47.2,30.284384463512,30.5504128710908,29.121071944586,28.7835049615672
Q8TF01,Q8TF01,9,9,9,Arginine/serine-rich protein PNISR,PNISR,sp|Q8TF01|PNISR_HUMAN Arginine/serine-rich protein PNISR OS=Homo sapiens OX=9606 GN=PNISR PE=1 SV=2,9.0,9.0,11.4,29.0941613074128,28.9876372220635,26.3494717042006,25.808748389387
Q9H307;G3V5F0;G3V579,Q9H307,30;7;7,30;7;7,30;7;7,Pinin,PNN,sp|Q9H307|PININ_HUMAN Pinin OS=Homo sapiens OX=9606 GN=PNN PE=1 SV=5,30.0,30.0,38.1,30.8862011126552,31.351370779213,27.8781824747369,27.8186063607434
Q8WVV4,Q8WVV4,2,2,2,Protein POF1B,POF1B,sp|Q8WVV4|POF1B_HUMAN Protein POF1B OS=Homo sapiens OX=9606 GN=POF1B PE=1 SV=3,2.0,2.0,4.8,21.4916965454054,23.8053201126992,4.38176407895191,4.39969772430431
Q9P215;Q5TIJ2,Q9P215,4;1,4;1,4;1,Pogo transposable element with KRAB domain,POGK,sp|Q9P215|POGK_HUMAN Pogo transposable element with KRAB domain OS=Homo sapiens OX=9606 GN=POGK PE=1 SV=2,4.0,4.0,11.8,25.8709362120305,26.9671924790549,24.096274409507,24.098364340286
Q7Z3K3;H0YCT3;H7C238;A6PW30;M0R2X2;E9PJY9;E9PIR8,Q7Z3K3,29;6;1;1;1;1;1,29;6;1;1;1;1;1,29;6;1;1;1;1;1,Pogo transposable element with ZNF domain,POGZ,sp|Q7Z3K3|POGZ_HUMAN Pogo transposable element with ZNF domain OS=Homo sapiens OX=9606 GN=POGZ PE=1 SV=2,29.0,29.0,28.6,29.2623286242373,29.6364751071546,26.2938806437143,25.9424379025125
P09884;A0A087WU64;A6NMQ1,P09884;A0A087WU64;A6NMQ1,16;15;15,16;15;15,16;15;15,DNA polymerase alpha catalytic subunit;DNA polymerase,POLA1,sp|P09884|DPOLA_HUMAN DNA polymerase alpha catalytic subunit OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=2;tr|A0A087WU64|A0A087WU64_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLA1 PE=1 SV=1;tr|A6NMQ1|A6NMQ1_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,16.0,16.0,15.3,28.1065441712048,27.6724286871988,24.7341237073633,26.5505559866797
P28340;M0R2B7;A0A087WYJ2;M0QZR8;A0A2R8Y7K6;A0A2R8Y705;M0QXE6;M0QXQ2;M0R3H8,P28340;M0R2B7;A0A087WYJ2;M0QZR8;A0A2R8Y7K6,25;25;24;21;14;12;9;7;2,25;25;24;21;14;12;9;7;2,25;25;24;21;14;12;9;7;2,DNA polymerase delta catalytic subunit;DNA polymerase,POLD1,sp|P28340|DPOD1_HUMAN DNA polymerase delta catalytic subunit OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=2;tr|M0R2B7|M0R2B7_HUMAN DNA polymerase OS=Homo sapiens OX=9606 GN=POLD1 PE=1 SV=1;tr|A0A087WYJ2|A0A087WYJ2_HUMAN DNA polymerase OS=Homo sapiens OX=9606 G,25.0,25.0,30.7,28.2720418243113,28.8954472385492,22.855877526053,23.0953609487614
Q15054;E9PRK3;E9PM91;E9PNC0;H0YEX7,Q15054,14;5;3;3;1,14;5;3;3;1,14;5;3;3;1,DNA polymerase delta subunit 3,POLD3,sp|Q15054|DPOD3_HUMAN DNA polymerase delta subunit 3 OS=Homo sapiens OX=9606 GN=POLD3 PE=1 SV=2,14.0,14.0,38.6,28.7214282102378,28.8494478153994,26.3853495101762,26.1265026723166
Q9BY77;F6VRR5;F8WCX5;Q8WUT1;Q6R954;F8WEE2,Q9BY77;F6VRR5;F8WCX5,15;15;8;7;5;5,15;15;8;7;5;5,15;15;8;7;5;5,Polymerase delta-interacting protein 3,POLDIP3,sp|Q9BY77|PDIP3_HUMAN Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2;tr|F6VRR5|F6VRR5_HUMAN Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=1;tr|F8WCX5|F8WCX5_HUMAN Polymerase delta-int,15.0,15.0,48.7,29.0887639000449,29.27586447724,26.4210793933415,26.3538856799061
Q9Y253;Q5JTF2,Q9Y253,19;4,19;4,19;4,DNA polymerase eta,POLH,sp|Q9Y253|POLH_HUMAN DNA polymerase eta OS=Homo sapiens OX=9606 GN=POLH PE=1 SV=1,19.0,19.0,41.2,29.4058017903128,29.1423373069558,23.0071525410385,24.5091786670238
Q9GZS1,Q9GZS1,6,6,2,DNA-directed RNA polymerase I subunit RPA49,POLR1E,sp|Q9GZS1|RPA49_HUMAN DNA-directed RNA polymerase I subunit RPA49 OS=Homo sapiens OX=9606 GN=POLR1E PE=1 SV=3,6.0,2.0,19.1,26.1599640071946,26.6769403745901,23.4647581139245,23.0162111572324
P24928,P24928,11,11,11,DNA-directed RNA polymerase II subunit RPB1,POLR2A,sp|P24928|RPB1_HUMAN DNA-directed RNA polymerase II subunit RPB1 OS=Homo sapiens OX=9606 GN=POLR2A PE=1 SV=2,11.0,11.0,9.0,26.8543610737781,25.9527595511613,25.0200918259408,24.4741361770884
Q96HA1,Q96HA1,9,2,2,Nuclear envelope pore membrane protein POM 121,POM121,sp|Q96HA1|P121A_HUMAN Nuclear envelope pore membrane protein POM 121 OS=Homo sapiens OX=9606 GN=POM121 PE=1 SV=2,9.0,2.0,14.0,26.1002306600016,26.6538979684776,4.38176407895191,4.39969772430431
A8CG34;C9JFL1;A6NF01;C9JER0;A8MY32,A8CG34,10;3;3;2;1,10;3;3;2;1,3;1;1;0;0,Nuclear envelope pore membrane protein POM 121C,POM121C,sp|A8CG34|P121C_HUMAN Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens OX=9606 GN=POM121C PE=1 SV=3,10.0,3.0,17.2,28.1190196233515,28.3187242869872,24.9396609902729,22.8558015037083
P14859;A0A0C4DG88;P09086;Q9UKI9;U3KQ96;U3KQN1;H0YNW1;H0YLL6;B5ME60;H0YKT2;H0YLC5;A0A0A0MT46,P14859;A0A0C4DG88;P09086;Q9UKI9;U3KQ96;U3KQN1;H0YNW1;H0YLL6;B5ME60;H0YKT2;H0YLC5;A0A0A0MT46,4;4;3;3;3;3;3;3;3;3;2;2,4;4;3;3;3;3;3;3;3;3;2;2,4;4;3;3;3;3;3;3;3;3;2;2,"POU domain, class 2, transcription factor 1;POU domain protein;POU domain, class 2, transcription factor 2;POU domain, class 2, transcription factor 3",POU2F1;POU2F2;POU2F3,"sp|P14859|PO2F1_HUMAN POU domain, class 2, transcription factor 1 OS=Homo sapiens OX=9606 GN=POU2F1 PE=1 SV=2;tr|A0A0C4DG88|A0A0C4DG88_HUMAN POU domain protein (Fragment) OS=Homo sapiens OX=9606 GN=POU2F1 PE=1 SV=1;sp|P09086|PO2F2_HUMAN POU domain, class 2",4.0,4.0,7.7,26.680834653139,25.8885777180744,25.0953088039999,24.5361143856929
Q86W92;F5GZP6;H0YFE4;A0A0A0MTP2;F5H6Q7;F5H0E0;F5H495;Q8ND30;E9PP16;H0YGH8,Q86W92;F5GZP6,31;20;9;7;4;4;4;2;2;1,31;20;9;7;4;4;4;2;2;1,31;20;9;7;4;4;4;2;2;1,Liprin-beta-1,PPFIBP1,sp|Q86W92|LIPB1_HUMAN Liprin-beta-1 OS=Homo sapiens OX=9606 GN=PPFIBP1 PE=1 SV=2;tr|F5GZP6|F5GZP6_HUMAN Liprin-beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=PPFIBP1 PE=1 SV=1,31.0,31.0,37.8,4.3500727725963,4.5358450090929,29.7943298910557,29.2914718332589
P62937;F8WE65;C9J5S7;F5H284;Q9Y536;E5RIZ5;P0DN26;A0A0H2UH34;A0A0B4J2A2;A0A075B767;A0A075B759,P62937;F8WE65;C9J5S7,8;6;6;1;1;1;1;1;1;1;1,8;6;6;1;1;1;1;1;1;1;1,8;6;6;1;1;1;1;1;1;1;1,"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed;Peptidyl-prolyl cis-trans isomerase",PPIA,sp|P62937|PPIA_HUMAN Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2;tr|F8WE65|F8WE65_HUMAN Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=1;tr|C9J5S7|C9J5S7_HUMAN Peptidyl-prolyl cis-trans isome,8.0,8.0,60.0,28.1096358042328,27.9663675319014,26.6470501530727,26.3043639954165
Q08752;H0Y8J0,Q08752,8;1,8;1,8;1,Peptidyl-prolyl cis-trans isomerase D,PPID,sp|Q08752|PPID_HUMAN Peptidyl-prolyl cis-trans isomerase D OS=Homo sapiens OX=9606 GN=PPID PE=1 SV=3,8.0,8.0,21.6,26.0891176194311,24.673143416743,25.6238841684936,25.0779794118308
Q9UNP9;E9PKY5;E9PEQ6;E9PK21,Q9UNP9;E9PKY5;E9PEQ6,4;3;3;1,4;3;3;1,4;3;3;1,Peptidyl-prolyl cis-trans isomerase E;Peptidyl-prolyl cis-trans isomerase,PPIE,sp|Q9UNP9|PPIE_HUMAN Peptidyl-prolyl cis-trans isomerase E OS=Homo sapiens OX=9606 GN=PPIE PE=1 SV=1;tr|E9PKY5|E9PKY5_HUMAN Peptidyl-prolyl cis-trans isomerase (Fragment) OS=Homo sapiens OX=9606 GN=PPIE PE=1 SV=1;tr|E9PEQ6|E9PEQ6_HUMAN Peptidyl-prolyl cis-,4.0,4.0,20.6,24.9931719787149,25.8155070172325,4.38176407895191,4.39969772430431
Q13427;C9JN15;C9JM79;E9PG73,Q13427;C9JN15;C9JM79;E9PG73,5;5;5;4,5;5;5;4,5;5;5;4,Peptidyl-prolyl cis-trans isomerase G;Peptidyl-prolyl cis-trans isomerase,PPIG,sp|Q13427|PPIG_HUMAN Peptidyl-prolyl cis-trans isomerase G OS=Homo sapiens OX=9606 GN=PPIG PE=1 SV=2;tr|C9JN15|C9JN15_HUMAN Peptidyl-prolyl cis-trans isomerase (Fragment) OS=Homo sapiens OX=9606 GN=PPIG PE=1 SV=1;tr|C9JM79|C9JM79_HUMAN Peptidyl-prolyl cis-,5.0,5.0,6.9,24.7588795132738,26.6683087247774,4.38176407895191,4.39969772430431
Q13356;C9JDF0,Q13356,14;1,14;1,14;1,Peptidyl-prolyl cis-trans isomerase-like 2,PPIL2,sp|Q13356|PPIL2_HUMAN RING-type E3 ubiquitin-protein ligase PPIL2 OS=Homo sapiens OX=9606 GN=PPIL2 PE=1 SV=1,14.0,14.0,43.1,28.4268240138625,28.3367100324605,24.0049538614663,22.8915241489997
Q8WUA2,Q8WUA2,15,15,15,Peptidyl-prolyl cis-trans isomerase-like 4,PPIL4,sp|Q8WUA2|PPIL4_HUMAN Peptidyl-prolyl cis-trans isomerase-like 4 OS=Homo sapiens OX=9606 GN=PPIL4 PE=1 SV=1,15.0,15.0,38.2,28.6428225478121,28.9142199623256,27.5021073977141,27.192817286791
O75688;B8ZZF0;C9JIR6;A0A3B3IS24;P35813;E9PKB5,O75688;B8ZZF0;C9JIR6;A0A3B3IS24;P35813;E9PKB5,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,Protein phosphatase 1B;Protein phosphatase 1A,PPM1B;PPM1A,sp|O75688|PPM1B_HUMAN Protein phosphatase 1B OS=Homo sapiens OX=9606 GN=PPM1B PE=1 SV=1;tr|B8ZZF0|B8ZZF0_HUMAN Protein phosphatase 1B (Fragment) OS=Homo sapiens OX=9606 GN=PPM1B PE=1 SV=2;tr|C9JIR6|C9JIR6_HUMAN Protein phosphatase 1B (Fragment) OS=Homo sap,2.0,2.0,4.4,4.3500727725963,4.5358450090929,23.8718293033933,22.6007994753489
O15297,O15297,3,3,3,Protein phosphatase 1D,PPM1D,sp|O15297|PPM1D_HUMAN Protein phosphatase 1D OS=Homo sapiens OX=9606 GN=PPM1D PE=1 SV=1,3.0,3.0,9.8,23.9696535166411,23.6720644435112,22.2326586490865,22.1268846674108
O15355,O15355,14,14,14,Protein phosphatase 1G,PPM1G,sp|O15355|PPM1G_HUMAN Protein phosphatase 1G OS=Homo sapiens OX=9606 GN=PPM1G PE=1 SV=1,14.0,14.0,40.1,28.8183625592995,29.1269161676464,27.789860456607,27.8292930395406
Q9Y570,Q9Y570,13,13,13,Protein phosphatase methylesterase 1,PPME1,sp|Q9Y570|PPME1_HUMAN Protein phosphatase methylesterase 1 OS=Homo sapiens OX=9606 GN=PPME1 PE=1 SV=3,13.0,13.0,39.1,28.4206939980788,28.1984019500068,27.9983035980562,27.6778141445873
