Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WSB2-N1,Intensity WSB2-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
A0A494BZV2;Q6WCQ1;J3KSW8;H0Y2S9;H0Y7E2;H7C3G6;J3KSK7;J3QRL2;K7EJ14;K7EL39;A0A1W2PPU9,A0A494BZV2;Q6WCQ1;J3KSW8;H0Y2S9,23;22;19;15;8;6;3;3;1;1;1,23;22;19;15;8;6;3;3;1;1;1,23;22;19;15;8;6;3;3;1;1;1,Myosin phosphatase Rho-interacting protein,MPRIP,tr|A0A494BZV2|A0A494BZV2_HUMAN Myosin phosphatase Rho-interacting protein OS=Homo sapiens OX=9606 GN=MPRIP PE=1 SV=1;sp|Q6WCQ1|MPRIP_HUMAN Myosin phosphatase Rho-interacting protein OS=Homo sapiens OX=9606 GN=MPRIP PE=1 SV=3;tr|J3KSW8|J3KSW8_HUMAN Myosin p,23,23,12.6,4.25717907948666,4.09415654932906,28.1418989828621,28.2844506558471
P49959;F8W7U8;F5GXT0;F5H742;F5H256,P49959;F8W7U8,32;32;9;6;6,32;32;9;6;6,32;32;9;6;6,Double-strand break repair protein MRE11A,MRE11A,sp|P49959|MRE11_HUMAN Double-strand break repair protein MRE11 OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=3;tr|F8W7U8|F8W7U8_HUMAN Double-strand break repair protein OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=1,32,32,53.0,29.8577755976392,28.8844262755873,31.6146947797603,31.3670304838035
Q6P1R3;B4E1M0;E9PPE2,Q6P1R3;B4E1M0;E9PPE2,2;1;1,2;1;1,2;1;1,Myb/SANT-like DNA-binding domain-containing protein 2,MSANTD2,sp|Q6P1R3|MSD2_HUMAN Myb/SANT-like DNA-binding domain-containing protein 2 OS=Homo sapiens OX=9606 GN=MSANTD2 PE=1 SV=1;tr|B4E1M0|B4E1M0_HUMAN Myb/SANT-like DNA-binding domain-containing protein 2 OS=Homo sapiens OX=9606 GN=MSANTD2 PE=1 SV=1;tr|E9PPE2|E9PP,2,2,5.5,4.25717907948666,4.09415654932906,24.2174146260736,23.8021305670483
P43246;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02;A0A2R8Y7S8;A0A2R8Y713,P43246;A0A2R8YFH0;E9PHA6;A0A2R8Y6P0;A0A2R8YG02;A0A2R8Y7S8,4;4;4;4;4;3;1,4;4;4;4;4;3;1,4;4;4;4;4;3;1,DNA mismatch repair protein Msh2,MSH2,sp|P43246|MSH2_HUMAN DNA mismatch repair protein Msh2 OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1;tr|A0A2R8YFH0|A0A2R8YFH0_HUMAN DNA mismatch repair protein OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1;tr|E9PHA6|E9PHA6_HUMAN DNA mismatch repair protein OS=Homo,4,4,7.6,4.25717907948666,4.09415654932906,24.9602261192441,25.0629522689171
P52701;A0A494C0M1;A0A087WWJ1;A0A087WYT6;C9JH55;C9J8Y8;C9J7Y7,P52701;A0A494C0M1;A0A087WWJ1,21;21;17;4;1;1;1,21;21;17;4;1;1;1,21;21;17;4;1;1;1,DNA mismatch repair protein Msh6,MSH6,sp|P52701|MSH6_HUMAN DNA mismatch repair protein Msh6 OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=2;tr|A0A494C0M1|A0A494C0M1_HUMAN DNA mismatch repair protein OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=1;tr|A0A087WWJ1|A0A087WWJ1_HUMAN DNA mismatch repair protein,21,21,19.3,4.25717907948666,4.09415654932906,28.6608834087079,28.3739730266815
P26038;V9GZ54,P26038,20;5,14;3,13;3,Moesin,MSN,sp|P26038|MOES_HUMAN Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3,20,13,30.8,26.2433622870778,23.6280075899799,26.9829406710452,27.462872044217
Q9BUK6;A0A3B3IUD2,Q9BUK6;A0A3B3IUD2,3;3,3;3,3;3,Protein misato homolog 1,MSTO1,sp|Q9BUK6|MSTO1_HUMAN Protein misato homolog 1 OS=Homo sapiens OX=9606 GN=MSTO1 PE=1 SV=1;tr|A0A3B3IUD2|A0A3B3IUD2_HUMAN Protein misato homolog 1 OS=Homo sapiens OX=9606 GN=MSTO1 PE=1 SV=1,3,3,5.8,4.25717907948666,4.09415654932906,23.9706192053893,24.4299471033306
Q13330;E7ESY4;Q9BTC8;E9PCS8;E7EQY4;E7EV10;E9PF88;H0Y4T7;H7C3F3;H0YIT0,Q13330;E7ESY4;Q9BTC8;E9PCS8;E7EQY4;E7EV10,5;5;3;3;3;3;2;2;1;1,4;4;2;2;2;2;2;1;1;1,4;4;2;2;2;2;2;1;1;1,Metastasis-associated protein MTA1;Metastasis-associated protein MTA3,MTA1;MTA3,sp|Q13330|MTA1_HUMAN Metastasis-associated protein MTA1 OS=Homo sapiens OX=9606 GN=MTA1 PE=1 SV=2;tr|E7ESY4|E7ESY4_HUMAN Metastasis-associated protein MTA1 OS=Homo sapiens OX=9606 GN=MTA1 PE=1 SV=1;sp|Q9BTC8|MTA3_HUMAN Metastasis-associated protein MTA3 OS,5,4,8.5,4.25717907948666,4.09415654932906,23.6388724775715,24.3566921371862
O94776;F6RRE2,O94776,5;1,5;1,4;0,Metastasis-associated protein MTA2,MTA2,sp|O94776|MTA2_HUMAN Metastasis-associated protein MTA2 OS=Homo sapiens OX=9606 GN=MTA2 PE=1 SV=1,5,4,9.6,4.25717907948666,4.09415654932906,25.7961261756054,25.2497407723272
Q86UE4;E5RJU9;H0YB56;H0YBE0;H0YBJ8,Q86UE4;E5RJU9,11;8;3;1;1,11;8;3;1;1,11;8;3;1;1,Protein LYRIC,MTDH,sp|Q86UE4|LYRIC_HUMAN Protein LYRIC OS=Homo sapiens OX=9606 GN=MTDH PE=1 SV=2;tr|E5RJU9|E5RJU9_HUMAN Protein LYRIC OS=Homo sapiens OX=9606 GN=MTDH PE=1 SV=1,11,11,25.3,4.25717907948666,4.09415654932906,28.2962285411389,28.0922971973418
P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,18;18;18;18;15;14,18;18;18;18;15;14,18;18;18;18;15;14,"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed",MTHFD1,"sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3;tr|V9GYY3|V9GYY3_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=2;tr|A0A384N5Y3|A0A384N5Y3_HUMAN C-1-tet",18,18,26.2,25.777209154506,24.8562385774939,28.4055583659521,27.9380910149472
Q8NCE2;C9JSR1;C9JR61,Q8NCE2;C9JSR1;C9JR61,2;2;1,2;2;1,2;2;1,Myotubularin-related protein 14,MTMR14,sp|Q8NCE2|MTMRE_HUMAN Myotubularin-related protein 14 OS=Homo sapiens OX=9606 GN=MTMR14 PE=1 SV=2;tr|C9JSR1|C9JSR1_HUMAN Myotubularin-related protein 14 OS=Homo sapiens OX=9606 GN=MTMR14 PE=1 SV=1;tr|C9JR61|C9JR61_HUMAN Myotubularin-related protein 14 (Fra,2,2,4.3,4.25717907948666,4.09415654932906,22.3393020003121,24.3015235462335
Q9Y217,Q9Y217,8,8,8,Myotubularin-related protein 6,MTMR6,sp|Q9Y217|MTMR6_HUMAN Myotubularin-related protein 6 OS=Homo sapiens OX=9606 GN=MTMR6 PE=1 SV=3,8,8,16.6,4.25717907948666,4.09415654932906,27.1633657528541,26.7909169890899
Q99707;B1ANE3;A0A494C064;A0A494C1A2,Q99707;B1ANE3,12;8;3;3,12;8;3;3,12;8;3;3,Methionine synthase,MTR,sp|Q99707|METH_HUMAN Methionine synthase OS=Homo sapiens OX=9606 GN=MTR PE=1 SV=2;tr|B1ANE3|B1ANE3_HUMAN Methionine synthase (Fragment) OS=Homo sapiens OX=9606 GN=MTR PE=1 SV=1,12,12,12.3,25.3741140254295,25.7796155685873,26.5841984661649,25.142619711934
Q9ULD2;H0YC63;A0A0U1RQI2,Q9ULD2;H0YC63,6;4;1,6;4;1,6;4;1,Microtubule-associated tumor suppressor 1,MTUS1,sp|Q9ULD2|MTUS1_HUMAN Microtubule-associated tumor suppressor 1 OS=Homo sapiens OX=9606 GN=MTUS1 PE=1 SV=2;tr|H0YC63|H0YC63_HUMAN Microtubule-associated tumor suppressor 1 (Fragment) OS=Homo sapiens OX=9606 GN=MTUS1 PE=1 SV=1,6,6,6.0,4.25717907948666,4.09415654932906,25.9640441470662,25.1812414468888
Q8WXI7,Q8WXI7,4,4,4,Mucin-16,MUC16,sp|Q8WXI7|MUC16_HUMAN Mucin-16 OS=Homo sapiens OX=9606 GN=MUC16 PE=1 SV=3,4,4,0.5,4.25717907948666,4.09415654932906,27.9406133567067,23.8978144425491
Q14764;H3BPZ2;H3BNF2;H3BUP3;H3BQE7;H3BP76;H3BUK7;H3BNF6;H3BRL2;H3BQK6,Q14764,3;1;1;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1;1;1,Major vault protein,MVP,sp|Q14764|MVP_HUMAN Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4,3,3,3.8,4.25717907948666,4.09415654932906,25.232570825357,25.2172666952823
Q9BQG0;I3L1L3;I3L311,Q9BQG0;I3L1L3,6;5;1,6;5;1,6;5;1,Myb-binding protein 1A,MYBBP1A,sp|Q9BQG0|MBB1A_HUMAN Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2;tr|I3L1L3|I3L1L3_HUMAN Myb-binding protein 1A (Fragment) OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=1,6,6,6.1,4.25717907948666,4.09415654932906,26.2441974427318,25.7402882534652
Q7Z406;M0QY43,Q7Z406;M0QY43,12;8,3;3,3;3,Myosin-14,MYH14,sp|Q7Z406|MYH14_HUMAN Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2;tr|M0QY43|M0QY43_HUMAN Myosin-14 (Fragment) OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=8,12,3,5.2,4.25717907948666,4.09415654932906,28.7279651563801,29.1108805585342
P35579;P35580;Q5BKV1;P35749;B1AH99;A0A494C024;A0A0C4DFM8;A0A2R8Y4C3;A1L2Z2;E7ERA5;P12883;P13533;REV__Q9UKV3;REV__E7EQT4;REV__S4R3H4;P11055;P12882;P13535;Q9Y623;Q9UKX2,P35579,134;18;18;13;9;5;4;3;2;2;1;1;1;1;1;1;1;1;1;1,134;18;18;13;9;5;4;3;2;2;1;1;1;1;1;1;1;1;1;1,125;12;16;4;9;2;0;0;0;1;0;0;1;1;1;0;0;0;0;0,Myosin-9,MYH9,sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,134,125,59.4,30.7544580166716,29.46489830163,34.8198361678799,34.7037800309961
O14950;P19105;J3QRS3;P24844,O14950;P19105;J3QRS3;P24844,2;2;2;1,2;2;2;1,2;2;2;1,Myosin regulatory light chain 12B;Myosin regulatory light chain 12A;Myosin regulatory light polypeptide 9,MYL12B;MYL12A;MYL9,sp|O14950|ML12B_HUMAN Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2;sp|P19105|ML12A_HUMAN Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2;tr|J3QRS3|J3QRS3_HUMAN Myosin regulatory light chain 12A,2,2,11.0,4.25717907948666,4.09415654932906,23.2990794242312,23.4061344038626
Q15746;D6R9C2,Q15746,16;2,16;2,16;2,"Myosin light chain kinase, smooth muscle;Myosin light chain kinase, smooth muscle, deglutamylated form",MYLK,"sp|Q15746|MYLK_HUMAN Myosin light chain kinase, smooth muscle OS=Homo sapiens OX=9606 GN=MYLK PE=1 SV=4",16,16,10.6,4.25717907948666,4.09415654932906,28.1744092184076,27.6144227378964
O43795;E9PDF6;H7C2Y7;E7EQD9;C9JYW1;C9JUP5;A0A0U1RRI3;C9K0I9;G3V342,O43795;E9PDF6,16;16;5;4;3;2;2;1;1,16;16;5;4;3;2;2;1;1,14;14;5;3;2;2;2;1;0,Unconventional myosin-Ib,MYO1B,sp|O43795|MYO1B_HUMAN Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3;tr|E9PDF6|E9PDF6_HUMAN Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=1,16,14,17.2,4.25717907948666,4.09415654932906,27.7260494204738,26.9370808421616
F5H6E2;O00159,F5H6E2;O00159,2;1,2;1,2;1,Unconventional myosin-Ic,MYO1C,tr|F5H6E2|F5H6E2_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=1;sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,2,2,2.9,22.9287525674995,22.4177833252993,4.51247618958678,4.42747165566269
Q12965;H0YNQ8;O00160;H0YN00;H0YLE5,Q12965,8;2;1;1;1,8;2;1;1;1,8;2;1;1;1,Unconventional myosin-Ie,MYO1E,sp|Q12965|MYO1E_HUMAN Unconventional myosin-Ie OS=Homo sapiens OX=9606 GN=MYO1E PE=1 SV=2,8,8,10.6,25.3519610441868,24.8542897279916,24.1033358376765,26.2048606523644
A0A0A0MRM8;A0A1Y0BRN3;Q9UM54;A0A590UJ40;E7EW20;A0A590UKB0;A0A590UJ75;A0A0D9SGC1;A0A590UK22;A0A590UK86;A0A5F9ZI03;A0A590UJY4;A0A590UK71;Q5JVM0;A0A590UJW9,A0A0A0MRM8;A0A1Y0BRN3;Q9UM54;A0A590UJ40;E7EW20;A0A590UKB0;A0A590UJ75;A0A0D9SGC1;A0A590UK22;A0A590UK86;A0A5F9ZI03;A0A590UJY4;A0A590UK71,34;34;33;33;33;28;28;28;25;20;19;19;18;2;2,34;34;33;33;33;28;28;28;25;20;19;19;18;2;2,34;34;33;33;33;28;28;28;25;20;19;19;18;2;2,Unconventional myosin-VI,MYO6,tr|A0A0A0MRM8|A0A0A0MRM8_HUMAN Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6 PE=1 SV=1;tr|A0A1Y0BRN3|A0A1Y0BRN3_HUMAN Myosin VI transcript variant 007 OS=Homo sapiens OX=9606 GN=MYO6 PE=1 SV=1;sp|Q9UM54|MYO6_HUMAN Unconventional myosin-VI OS=Hom,34,34,33.2,24.0901479644114,22.5537492735448,29.8303815465603,29.5202832049064
Q13459;M0R300;M0R0P8;M0QZY4;B2RTY4;M0R2J3;M0R332;M0QXP0;H3BRD5,Q13459;M0R300;M0R0P8,11;11;11;2;1;1;1;1;1,11;11;11;2;1;1;1;1;1,11;11;11;2;1;1;1;1;1,Unconventional myosin-IXb,MYO9B,sp|Q13459|MYO9B_HUMAN Unconventional myosin-IXb OS=Homo sapiens OX=9606 GN=MYO9B PE=1 SV=3;tr|M0R300|M0R300_HUMAN Unconventional myosin-IXb (Fragment) OS=Homo sapiens OX=9606 GN=MYO9B PE=1 SV=8;tr|M0R0P8|M0R0P8_HUMAN Unconventional myosin-IXb OS=Homo sapie,11,11,6.3,4.25717907948666,4.09415654932906,26.7766822159421,25.9161579196866
O75113;I3L3R7,O75113,27;2,27;2,27;2,NEDD4-binding protein 1,N4BP1,sp|O75113|N4BP1_HUMAN NEDD4-binding protein 1 OS=Homo sapiens OX=9606 GN=N4BP1 PE=1 SV=4,27,27,44.0,23.390839450808,22.3867708328521,29.6664305788649,29.4546403962646
Q86UW6;H0YA93,Q86UW6;H0YA93,11;10,11;10,11;10,NEDD4-binding protein 2,N4BP2,sp|Q86UW6|N4BP2_HUMAN NEDD4-binding protein 2 OS=Homo sapiens OX=9606 GN=N4BP2 PE=1 SV=2;tr|H0YA93|H0YA93_HUMAN NEDD4-binding protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=N4BP2 PE=1 SV=1,11,11,9.0,24.5669166739022,23.2565231471014,26.9562650094182,27.1690175649635
Q147X3;B4DK34;J3KNC2;G3V3I2,Q147X3;B4DK34;J3KNC2,5;3;3;1,5;3;3;1,5;3;3;1,N-alpha-acetyltransferase 30,NAA30;NAT12,"sp|Q147X3|NAA30_HUMAN N-alpha-acetyltransferase 30 OS=Homo sapiens OX=9606 GN=NAA30 PE=1 SV=1;tr|B4DK34|B4DK34_HUMAN N-acetyltransferase 12, isoform CRA_a OS=Homo sapiens OX=9606 GN=NAA30 PE=1 SV=1;tr|J3KNC2|J3KNC2_HUMAN N-alpha-acetyltransferase 30 (Fragm",5,5,14.9,4.25717907948666,4.09415654932906,25.7034541478395,25.7066981459894
Q5VZE5,Q5VZE5,8,8,8,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",NAA35,"sp|Q5VZE5|NAA35_HUMAN N-alpha-acetyltransferase 35, NatC auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA35 PE=1 SV=1",8,8,13.4,4.25717907948666,4.09415654932906,26.3293886408461,25.9878919729717
Q9GZZ1;C9JZU6;C9J5D1;E7EQ69;F8WCK0;C9J5J3;A0A0D9SF32;A0A087WWJ2,Q9GZZ1;C9JZU6;C9J5D1;E7EQ69;F8WCK0;C9J5J3;A0A0D9SF32;A0A087WWJ2,2;2;2;2;1;1;1;1,2;2;2;2;1;1;1;1,2;2;2;2;1;1;1;1,N-alpha-acetyltransferase 50,NAA50,sp|Q9GZZ1|NAA50_HUMAN N-alpha-acetyltransferase 50 OS=Homo sapiens OX=9606 GN=NAA50 PE=1 SV=1;tr|C9JZU6|C9JZU6_HUMAN N-alpha-acetyltransferase 50 (Fragment) OS=Homo sapiens OX=9606 GN=NAA50 PE=1 SV=1;tr|C9J5D1|C9J5D1_HUMAN N-alpha-acetyltransferase 50 OS=H,2,2,13.6,4.25717907948666,4.09415654932906,24.9172966797433,23.8918949264474
E9PAV3;F8VZJ2;F8W0W4;H0YHX9;Q13765;F8W1N5;F8VNW4;Q9BZK3;F8VZ58,E9PAV3;F8VZJ2;F8W0W4;H0YHX9;Q13765;F8W1N5;F8VNW4,4;4;4;4;4;3;3;1;1,4;4;4;4;4;3;3;1;1,4;4;4;4;4;3;3;1;1,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",NACA,"sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;tr|F8VZJ2|F8VZJ2_HUMAN Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1",4,4,2.6,27.822197654601,27.4047060570964,27.5089218616108,27.337475861926
Q96RE7;K7ENW4;Q96BF6,Q96RE7,10;2;1,10;2;1,8;2;1,Nucleus accumbens-associated protein 1,NACC1,sp|Q96RE7|NACC1_HUMAN Nucleus accumbens-associated protein 1 OS=Homo sapiens OX=9606 GN=NACC1 PE=1 SV=1,10,8,25.0,4.25717907948666,4.09415654932906,28.2069947274084,27.9139347489049
P43490;A0A0C4DFS8,P43490;A0A0C4DFS8,5;4,5;4,5;4,Nicotinamide phosphoribosyltransferase,NAMPT,sp|P43490|NAMPT_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1;tr|A0A0C4DFS8|A0A0C4DFS8_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1,5,5,15.5,4.25717907948666,4.09415654932906,26.0203038155145,24.2060538868937
Q8TBE9;REV__CON__P02672,Q8TBE9,7;1,7;1,7;1,N-acylneuraminate-9-phosphatase,NANP,sp|Q8TBE9|NANP_HUMAN N-acylneuraminate-9-phosphatase OS=Homo sapiens OX=9606 GN=NANP PE=1 SV=1,7,7,31.5,23.955976906995,24.0284207403967,28.1994320451725,28.1000902683163
P55209;F8W020;F8VY35;F8W0J6;F5H4R6;H0YIV4;H0YHC3;F8W118;F8VXI6;F8VUX1;F8VV59;B7Z9C2;H0YH88;F8W543;F8VRJ2;F8VVB5,P55209;F8W020;F8VY35;F8W0J6;F5H4R6;H0YIV4;H0YHC3;F8W118;F8VXI6;F8VUX1;F8VV59;B7Z9C2;H0YH88;F8W543;F8VRJ2;F8VVB5,8;8;8;8;8;8;7;7;7;7;7;7;6;6;5;5,7;7;7;7;7;7;6;6;6;6;6;6;5;5;4;4,7;7;7;7;7;7;6;6;6;6;6;6;5;5;4;4,Nucleosome assembly protein 1-like 1,NAP1L1,sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8W020|F8W020_HUMAN Nucleosome assembly protein 1-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L1 PE=1 SV=1;tr|F8VY35|F8VY35_HUMAN Nucleosome asse,8,7,22.5,25.8535522815232,25.5926625606091,29.8372714583798,29.7493996469235
Q99733;C9J6D1;C9JZI7;E9PNW0;E9PJJ2;E9PS34;E9PNJ7;A8MXH2;E9PKT8;E9PKI2;E9PP22;C9J1B1;H0YCI4,Q99733;C9J6D1;C9JZI7;E9PNW0;E9PJJ2;E9PS34;E9PNJ7;A8MXH2;E9PKT8,9;7;7;6;6;6;6;6;5;4;4;3;3,9;7;7;6;6;6;6;6;5;4;4;3;3,8;6;6;5;5;5;5;5;4;4;4;3;3,Nucleosome assembly protein 1-like 4,NAP1L4,sp|Q99733|NP1L4_HUMAN Nucleosome assembly protein 1-like 4 OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1;tr|C9J6D1|C9J6D1_HUMAN Nucleosome assembly protein 1-like 4 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1;tr|C9JZI7|C9JZI7_HUMAN Nucleosome asse,9,8,31.5,25.2366201950528,25.287994128411,29.4937346584548,29.0010451898299
Q99747,Q99747,2,2,2,Gamma-soluble NSF attachment protein,NAPG,sp|Q99747|SNAG_HUMAN Gamma-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPG PE=1 SV=1,2,2,9.6,4.25717907948666,4.09415654932906,24.6363298934154,24.4518022179365
O43776;K7EMQ6;K7EPK2;K7EQ35,O43776,8;1;1;1,8;1;1;1,8;1;1;1,"Asparagine--tRNA ligase, cytoplasmic",NARS,"sp|O43776|SYNC_HUMAN Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=NARS1 PE=1 SV=1",8,8,21.9,4.25717907948666,4.09415654932906,26.4511104739026,27.0883089905073
P49321;Q5T624;H0YF33;H0YDS9;E9PI86;E9PPQ8,P49321,28;13;9;8;7;4,28;13;9;8;7;4,9;4;1;2;2;2,Nuclear autoantigenic sperm protein,NASP,sp|P49321|NASP_HUMAN Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2,28,9,50.6,25.6734939093682,23.9902314087027,32.2639408493805,32.148587180209
Q9H0A0;A0A087WV29;E9PMU0;E9PJN6,Q9H0A0;A0A087WV29,35;30;6;4,35;30;6;4,35;30;6;4,N-acetyltransferase 10,NAT10,sp|Q9H0A0|NAT10_HUMAN RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2;tr|A0A087WV29|A0A087WV29_HUMAN RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=1,35,35,46.9,4.25717907948666,4.09415654932906,30.7659606086541,30.3211999085847
Q93015,Q93015,2,2,2,N-acetyltransferase 6,NAT6,sp|Q93015|NAA80_HUMAN N-alpha-acetyltransferase 80 OS=Homo sapiens OX=9606 GN=NAA80 PE=1 SV=2,2,2,7.7,4.25717907948666,4.09415654932906,21.0968052171854,23.1908561235942
A2RRP1;H0Y5G7,A2RRP1;H0Y5G7,2;1,2;1,2;1,Neuroblastoma-amplified sequence,NBAS,sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=2;tr|H0Y5G7|H0Y5G7_HUMAN Neuroblastoma-amplified sequence (Fragment) OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=1,2,2,0.9,23.6193011640835,23.4205590260967,22.3591479259639,22.034092334008
O60934;A0A0C4DG07;A0A087X1V5;E5RGU1;E2QRP0;E5RGR7;E5RGN7,O60934;A0A0C4DG07,14;12;3;3;2;2;1,14;12;3;3;2;2;1,14;12;3;3;2;2;1,Nibrin,NBN,sp|O60934|NBN_HUMAN Nibrin OS=Homo sapiens OX=9606 GN=NBN PE=1 SV=1;tr|A0A0C4DG07|A0A0C4DG07_HUMAN Nibrin OS=Homo sapiens OX=9606 GN=NBN PE=1 SV=1,14,14,26.3,4.25717907948666,4.09415654932906,28.0922971973418,27.8990830501251
Q15021;E7EN77,Q15021;E7EN77,5;3,5;3,5;3,Condensin complex subunit 1,NCAPD2,sp|Q15021|CND1_HUMAN Condensin complex subunit 1 OS=Homo sapiens OX=9606 GN=NCAPD2 PE=1 SV=3;tr|E7EN77|E7EN77_HUMAN Condensin complex subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=NCAPD2 PE=1 SV=2,5,5,4.4,4.25717907948666,4.09415654932906,24.8944414450966,24.5248028080089
Q9BPX3;H0Y9Z8;D6RA93,Q9BPX3,15;3;2,15;3;2,15;3;2,Condensin complex subunit 3,NCAPG,sp|Q9BPX3|CND3_HUMAN Condensin complex subunit 3 OS=Homo sapiens OX=9606 GN=NCAPG PE=1 SV=1,15,15,18.9,4.25717907948666,4.09415654932906,28.3963185083275,28.2629334198196
Q15003;E9PHA2;C9J470;H7C415;C9JZP1,Q15003;E9PHA2;C9J470,12;12;9;3;3,12;12;9;3;3,12;12;9;3;3,Condensin complex subunit 2,NCAPH,sp|Q15003|CND2_HUMAN Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=3;tr|E9PHA2|E9PHA2_HUMAN Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=1;tr|C9J470|C9J470_HUMAN Condensin complex subunit 2 (Fragment) OS=Homo,12,12,21.1,24.5092275430476,23.2070375629654,27.9455332283065,27.7632558364073
P16333;C9JAB9;C9JVV5;C9J869;H7C5C7;C9K098;C9J0K5,P16333;C9JAB9;C9JVV5;C9J869,15;10;8;8;7;6;4,15;10;8;8;7;6;4,14;10;7;7;6;5;3,Cytoplasmic protein NCK1,NCK1,sp|P16333|NCK1_HUMAN Cytoplasmic protein NCK1 OS=Homo sapiens OX=9606 GN=NCK1 PE=1 SV=1;tr|C9JAB9|C9JAB9_HUMAN Cytoplasmic protein NCK1 (Fragment) OS=Homo sapiens OX=9606 GN=NCK1 PE=1 SV=1;tr|C9JVV5|C9JVV5_HUMAN Cytoplasmic protein NCK1 (Fragment) OS=Homo,15,14,44.3,24.6342488387208,24.4808680867948,29.3367525892087,29.001474771116
